Entitlement Event ID,Event Type,Report Number,Report Date,Security Code,CUSIP,ISIN,Depository,Record Date,Ex Date,Pay Date,Due Bill End Date,Rate,Declared Security Rate,Box Position,Depository Position,Broadridge Position,Position Reconciled Flag,P&S Report Required Flag,P&S Report Number,Daily Trades Quantity,Transfer In/Out Adjustment Quantity,Distribution Booking Date,Book Longs Date,Book Shorts Date,Shares Received Quantity,Excess Shares Quantity,Fractional Shares Flag,Cash In Lieu Required Flag,Cash In Lieu Amount,Taxable Event Flag,Fair Market Value,RAJ Entry Required Flag,RAJ Entry Amount,Tax Reporting Form,Worksheet Created Flag,Takeoff Tab Completed Flag,Booking Tab Completed Flag,Notice Tab Completed Flag,Final Break Amount,Final Status
ENT-060072,Stock Split,R-44837,2025-08-26,S882089,BNWJM9ZT4,USBNWJM9ZT49,CDS,2025-08-26,2025-08-28,2025-09-09,,1.1213,1.0741,91767,91794,91750,N,Y,PS-52236,688,65,2025-09-10,2025-09-09,2025-09-10,102898,40,N,N,0,N,,N,,,Y,Y,N,Y,382.7,Pending Reconciliation
ENT-060073,Rights Issue,R-60563,2025-07-11,S936672,P7XF4BOCX,GBP7XF4BOCX7,CDS,2025-07-11,2025-07-13,2025-07-19,,0.9783,0.9745,35819,35800,35781,N,Y,PS-51310,1313,-167,2025-07-20,2025-07-19,2025-07-20,35041,19,Y,Y,8.04,N,,N,,,Y,Y,N,Y,141.22,Pending Reconciliation
ENT-060074,Spin-Off,R-90942,2025-07-22,S631348,G2MQSFUCZ,KYG2MQSFUCZ8,DTC,2025-07-22,2025-07-24,2025-07-28,,2.3371,2.4041,51140,51118,51093,N,Y,PS-56147,365,46,2025-07-29,2025-07-28,2025-07-29,119519,8,Y,Y,98.53,N,,N,,,Y,Y,N,Y,195.49,Pending Reconciliation
ENT-060075,Cash In Lieu,R-11866,2026-03-22,S918973,SV4W8AHWD,BMSV4W8AHWD9,Euroclear,2026-03-22,2026-03-22,2026-03-29,,0.7613,0.7256,10090,10098,10057,N,Y,PS-45417,564,294,2026-03-30,2026-03-29,2026-03-30,7681,40,N,N,0,N,,N,,,Y,Y,N,Y,436.31,Pending Reconciliation
ENT-060076,Rights Issue,R-70680,2025-08-15,S438955,TKE2XRV0Q,CATKE2XRV0Q7,CDS,2025-08-15,2025-08-15,2025-08-23,,1.6086,1.5559,75529,75549,75547,N,Y,PS-36831,1110,-491,2025-08-24,2025-08-23,2025-08-24,121495,30,N,N,0,N,,N,,,Y,Y,N,Y,109.88,Pending Reconciliation
ENT-060077,Stock Dividend,R-53329,2026-01-04,S421737,UOOXI3CQU,CAUOOXI3CQU6,I&TS,2026-01-04,2026-01-04,2026-01-14,,2.9668,2.9252,91121,91126,91123,Y,N,,1984,81,2026-01-15,2026-01-14,2026-01-15,270337,38,N,N,0,N,,N,,,Y,Y,Y,Y,0,Closed
ENT-060078,Rights Issue,R-81002,2025-09-08,S467524,P0AZVPYSL,BMP0AZVPYSL2,CDS,2025-09-08,2025-09-08,2025-09-16,,1.8593,1.8344,80561,80576,80515,N,Y,PS-97153,1765,-352,2025-09-17,2025-09-16,2025-09-17,149787,5,Y,Y,69.89,N,,N,,,Y,Y,N,Y,226.48,Pending Reconciliation
ENT-060079,Cash In Lieu,R-28878,2025-10-13,S432221,AYUUHZS0P,CAAYUUHZS0P3,CDS,2025-10-13,2025-10-13,2025-10-24,,1.9438,2.0381,77368,77414,77403,N,Y,PS-73859,1883,-220,2025-10-25,2025-10-24,2025-10-25,150387,33,N,N,0,N,,N,,,Y,Y,N,Y,141.09,Pending Reconciliation
ENT-060080,Rights Issue,R-24492,2025-09-10,S815467,H5VJV2PUJ,USH5VJV2PUJ7,Euroclear,2025-09-10,2025-09-12,2025-09-22,,0.5888,0.5723,73602,73602,73634,N,Y,PS-32931,1980,-287,2025-09-23,2025-09-22,2025-09-23,43336,15,N,N,0,N,,N,,,Y,Y,N,Y,115.53,Pending Reconciliation
ENT-060081,Rights Issue,R-63627,2026-01-13,S159417,523BPBVN6,KY523BPBVN62,CDS,2026-01-13,2026-01-13,2026-01-16,,1.8069,1.799,73195,73221,73217,N,Y,PS-41693,1326,467,2026-01-17,2026-01-16,2026-01-17,132256,30,N,N,0,N,,N,,,Y,Y,N,Y,378.0,Pending Reconciliation
ENT-060082,Stock Split,R-27204,2026-04-27,S783354,G6HZMB3GD,USG6HZMB3GD0,I&TS,2026-04-27,2026-04-27,2026-05-03,,0.4068,0.3877,20469,20480,20447,N,Y,PS-96421,55,-88,2026-05-04,2026-05-03,2026-05-04,8326,35,N,N,0,N,,N,,,Y,Y,N,Y,465.75,Pending Reconciliation
ENT-060083,Due Bill Event,R-29525,2025-11-10,S036040,FYXP5NGG3,BMFYXP5NGG33,I&TS,2025-11-10,2025-11-11,2025-11-13,2025-11-15,0.4865,0.4845,36970,36981,37000,N,Y,PS-52473,556,201,2025-11-14,2025-11-13,2025-11-14,17985,39,Y,Y,15.43,N,,N,,,Y,Y,N,Y,432.29,Pending Reconciliation
ENT-060084,Rights Issue,R-12511,2025-07-25,S951288,EKLS5ZYG2,CAEKLS5ZYG24,CDS,2025-07-25,2025-07-25,2025-07-30,,2.4612,2.3712,61342,61323,61363,N,Y,PS-61693,779,80,2025-07-31,2025-07-30,2025-07-31,150974,32,Y,Y,145.6,N,,N,,,Y,Y,N,Y,485.6,Pending Reconciliation
ENT-060085,Taxable Stock Dividend,R-17812,2025-07-21,S864645,MQ2KI9ZJP,CAMQ2KI9ZJP5,Euroclear,2025-07-21,2025-07-22,2025-07-26,,1.0211,1.0657,4713,4685,4750,N,Y,PS-15249,1042,-69,2025-07-27,2025-07-26,2025-07-27,4812,0,N,N,0,Y,85.47,Y,712.02,1099-DIV,Y,Y,N,Y,157.87,Pending Reconciliation
ENT-060086,Optional Stock Dividend,R-34254,2026-02-28,S807955,JC6H1V564,CAJC6H1V5643,I&TS,2026-02-28,2026-03-01,2026-03-09,,1.9834,1.9686,21167,21207,21168,N,Y,PS-79602,1163,122,2026-03-10,2026-03-09,2026-03-10,41982,34,Y,Y,33.54,Y,123.89,Y,1293.82,T3,Y,Y,N,Y,337.57,Pending Reconciliation
ENT-060087,Rights Issue,R-92090,2025-12-03,S063931,84TO591S1,KY84TO591S15,DTC,2025-12-03,2025-12-04,2025-12-06,,1.3457,1.3035,21203,21176,21246,N,Y,PS-93868,142,388,2025-12-07,2025-12-06,2025-12-07,28532,43,Y,Y,161.57,N,,Y,3852.78,,Y,Y,N,Y,150.24,Pending Reconciliation
ENT-060088,Cash In Lieu,R-61326,2025-10-16,S640378,74DN24QPH,CA74DN24QPH4,DTC,2025-10-16,2025-10-16,2025-10-26,,1.164,1.1148,19574,19547,19557,N,Y,PS-29281,1082,148,2025-10-27,2025-10-26,2025-10-27,22784,10,Y,Y,16.78,N,,N,,,Y,Y,N,Y,482.12,Pending Reconciliation
ENT-060089,Cash In Lieu,R-73008,2025-10-05,S281943,9JWT9UK7L,US9JWT9UK7L3,Euroclear,2025-10-05,2025-10-07,2025-10-10,,2.9741,2.8795,1486,1466,1456,N,Y,PS-63016,39,-481,2025-10-11,2025-10-10,2025-10-11,4419,42,N,N,0,N,,N,,,Y,Y,N,Y,75.31,Pending Reconciliation
ENT-060090,Due Bill Event,R-59244,2026-03-21,S927373,Z5NPKC098,BMZ5NPKC0981,CDS,2026-03-21,2026-03-23,2026-04-04,2026-04-06,1.255,1.2031,62434,62427,62476,N,Y,PS-20272,379,-82,2026-04-05,2026-04-04,2026-04-05,78354,47,N,N,0,N,,N,,,Y,Y,N,Y,497.86,Pending Reconciliation
ENT-060091,Stock Split,R-89151,2025-10-08,S257090,YSJU4S4RP,BMYSJU4S4RP1,CDS,2025-10-08,2025-10-09,2025-10-17,,1.8162,1.7541,76963,76941,76974,N,Y,PS-33109,844,-250,2025-10-18,2025-10-17,2025-10-18,139780,35,N,N,0,N,,N,,,Y,Y,N,Y,425.46,Pending Reconciliation
ENT-060092,Spin-Off,R-34644,2026-01-15,S068458,PR4M98UVB,USPR4M98UVB4,CDS,2026-01-15,2026-01-15,2026-01-18,,0.5293,0.5173,32778,32756,32825,N,Y,PS-65678,42,-299,2026-01-19,2026-01-18,2026-01-19,17349,14,Y,Y,200.56,N,,N,,,Y,Y,N,Y,170.2,Pending Reconciliation
ENT-060093,Spin-Off,R-38155,2025-12-06,S267070,JPAUSQ8OW,USJPAUSQ8OW6,DTC,2025-12-06,2025-12-07,2025-12-10,,1.9537,2.0388,81964,81933,81961,N,Y,PS-31641,1582,-338,2025-12-11,2025-12-10,2025-12-11,160133,36,N,N,0,N,,Y,2601.27,,Y,Y,N,Y,133.94,Pending Reconciliation
ENT-060094,Stock Split,R-39739,2025-10-03,S265274,JZWH8FPRH,BMJZWH8FPRH9,CDS,2025-10-03,2025-10-03,2025-10-07,,1.6108,1.5409,51264,51271,51305,N,Y,PS-18686,1962,60,2025-10-08,2025-10-07,2025-10-08,82576,49,N,N,0,N,,N,,,Y,Y,N,Y,478.64,Pending Reconciliation
ENT-060095,Rights Issue,R-69757,2025-08-12,S252282,578AL1VVF,BM578AL1VVF6,DTC,2025-08-12,2025-08-13,2025-08-20,,1.9822,1.9619,27794,27818,27840,N,Y,PS-20749,845,-179,2025-08-21,2025-08-20,2025-08-21,55093,41,N,N,0,N,,N,,,Y,Y,N,Y,165.83,Pending Reconciliation
ENT-060096,Due Bill Event,R-36174,2025-12-24,S037639,RBSOBVMN5,KYRBSOBVMN59,DTC,2025-12-24,2025-12-24,2026-01-02,2026-01-04,1.4834,1.5129,84179,84193,84187,N,Y,PS-46365,761,-460,2026-01-03,2026-01-02,2026-01-03,124871,5,Y,Y,6.79,N,,N,,,Y,Y,N,Y,163.06,Pending Reconciliation
ENT-060097,Taxable Stock Dividend,R-56130,2026-03-20,S063931,84TO591S1,KY84TO591S15,DTC,2026-03-20,2026-03-22,2026-04-02,,2.8846,2.8398,76833,76818,76832,N,Y,PS-36751,927,-401,2026-04-03,2026-04-02,2026-04-03,221632,39,Y,Y,212.47,Y,413.63,Y,2148.3,,Y,Y,N,Y,207.95,Pending Reconciliation
ENT-060098,Stock Split,R-25751,2026-03-10,S031501,E04ZI7CNK,CAE04ZI7CNK2,CDS,2026-03-10,2026-03-10,2026-03-15,,1.8019,1.7909,42428,42473,42449,N,Y,PS-81263,1537,119,2026-03-16,2026-03-15,2026-03-16,76451,33,Y,Y,239.58,N,,N,,,Y,Y,N,Y,255.62,Pending Reconciliation
ENT-060099,Rights Issue,R-85939,2026-04-24,S137496,1584IYRSN,CA1584IYRSN6,DTC,2026-04-24,2026-04-24,2026-04-30,,0.548,0.5233,79209,79230,79234,N,Y,PS-77152,1633,295,2026-05-01,2026-04-30,2026-05-01,43406,48,N,N,0,N,,N,,,Y,Y,N,Y,215.39,Pending Reconciliation
ENT-060100,Due Bill Event,R-14291,2026-03-18,S807955,JC6H1V564,CAJC6H1V5643,I&TS,2026-03-18,2026-03-20,2026-03-22,2026-03-24,0.0488,0.0504,48074,48080,48093,N,Y,PS-99147,1251,187,2026-03-23,2026-03-22,2026-03-23,2346,37,N,N,0,N,,N,,,Y,Y,N,Y,256.17,Pending Reconciliation
ENT-060101,Cash In Lieu,R-44719,2025-08-13,S276997,BXHGDKLOM,GBBXHGDKLOM3,DTC,2025-08-13,2025-08-13,2025-08-25,,0.559,0.5864,15638,15673,15627,N,Y,PS-49374,1148,-451,2025-08-26,2025-08-25,2025-08-26,8741,11,Y,Y,167.01,N,,N,,,Y,Y,N,Y,56.68,Pending Reconciliation
ENT-060102,Cash In Lieu,R-61602,2025-12-08,S534410,ES28GW5H9,BMES28GW5H92,Euroclear,2025-12-08,2025-12-09,2025-12-19,,2.1029,2.0849,56801,56840,56781,N,Y,PS-52722,1733,-195,2025-12-20,2025-12-19,2025-12-20,119446,28,Y,Y,12.48,N,,N,,,Y,Y,N,Y,134.33,Pending Reconciliation
ENT-060103,Due Bill Event,R-58380,2025-10-14,S659233,MFJ6SEMJ8,KYMFJ6SEMJ83,CDS,2025-10-14,2025-10-14,2025-10-19,2025-10-21,0.7535,0.7898,67189,67188,67207,N,Y,PS-87890,990,-139,2025-10-20,2025-10-19,2025-10-20,50626,2,Y,Y,108.17,N,,N,,,Y,Y,N,Y,72.66,Pending Reconciliation
ENT-060104,Rights Issue,R-14456,2025-07-30,S815467,H5VJV2PUJ,USH5VJV2PUJ7,Euroclear,2025-07-30,2025-08-01,2025-08-09,,0.2529,0.2419,39772,39802,39733,N,Y,PS-73821,847,-443,2025-08-10,2025-08-09,2025-08-10,10058,38,N,N,0,N,,N,,,Y,Y,N,Y,280.94,Pending Reconciliation
ENT-060105,Taxable Stock Dividend,R-56947,2025-12-24,S079844,WJHIH191Z,CAWJHIH191Z8,I&TS,2025-12-24,2025-12-24,2025-12-29,,2.4202,2.4438,87103,87107,87123,N,Y,PS-68895,643,137,2025-12-30,2025-12-29,2025-12-30,210806,21,Y,Y,17.67,Y,281.19,Y,4219.63,T3,Y,Y,N,Y,362.93,Pending Reconciliation
ENT-060106,Rights Issue,R-81451,2026-03-09,S432221,AYUUHZS0P,CAAYUUHZS0P3,DTC,2026-03-09,2026-03-10,2026-03-13,,2.8675,2.7631,86656,86653,86609,N,Y,PS-82008,842,32,2026-03-14,2026-03-13,2026-03-14,248486,43,Y,Y,27.96,N,,N,,,Y,Y,N,Y,96.24,Pending Reconciliation
ENT-060107,Stock Split,R-42766,2026-01-12,S017543,02WA2TS4W,KY02WA2TS4W4,CDS,2026-01-12,2026-01-13,2026-01-20,,1.1123,1.0653,50272,50286,50231,N,Y,PS-61905,329,82,2026-01-21,2026-01-20,2026-01-21,55917,17,Y,Y,102.87,N,,N,,,Y,Y,N,Y,418.33,Pending Reconciliation
ENT-060108,Optional Stock Dividend,R-54807,2025-07-24,S793154,GKHRT44H6,BMGKHRT44H63,DTC,2025-07-24,2025-07-25,2025-08-06,,1.5673,1.5939,45463,45440,45460,N,Y,PS-49507,394,493,2025-08-07,2025-08-06,2025-08-07,71254,18,N,N,0,Y,275.52,Y,1462.42,T5,Y,Y,N,Y,305.31,Pending Reconciliation
ENT-060109,Due Bill Event,R-88444,2025-10-25,S470459,MPXVBOQDE,KYMPXVBOQDE2,Euroclear,2025-10-25,2025-10-27,2025-10-31,2025-11-02,0.5531,0.5259,63056,63037,63102,N,Y,PS-10641,1137,28,2025-11-01,2025-10-31,2025-11-01,34876,29,N,N,0,N,,N,,,Y,Y,N,Y,461.52,Pending Reconciliation
ENT-060110,Due Bill Event,R-88902,2026-02-26,S873145,IOUGJM5LA,CAIOUGJM5LA0,DTC,2026-02-26,2026-02-26,2026-03-03,2026-03-05,1.5945,1.5455,80586,80579,80591,Y,N,,1184,-237,2026-03-04,2026-03-03,2026-03-04,128494,13,Y,Y,211.55,N,,N,,,Y,Y,Y,Y,0,Closed
ENT-060111,Spin-Off,R-50574,2025-09-28,S737316,581IBCFO8,BM581IBCFO83,DTC,2025-09-28,2025-09-28,2025-10-02,,2.406,2.3387,2411,2430,2386,N,Y,PS-73560,1981,-82,2025-10-03,2025-10-02,2025-10-03,5800,49,N,N,0,N,,N,,,Y,Y,N,Y,496.11,Pending Reconciliation
ENT-060112,Due Bill Event,R-34339,2026-01-18,S036040,FYXP5NGG3,BMFYXP5NGG33,I&TS,2026-01-18,2026-01-20,2026-02-01,2026-02-03,1.1133,1.1183,25605,25600,25648,N,Y,PS-20832,1339,17,2026-02-02,2026-02-01,2026-02-02,28506,17,N,N,0,N,,N,,,Y,Y,N,Y,242.72,Pending Reconciliation
ENT-060113,Stock Dividend,R-86111,2026-01-30,S228164,5STIX5565,US5STIX55650,Euroclear,2026-01-30,2026-02-01,2026-02-12,,2.0512,2.0084,47442,47435,47450,Y,N,,1781,-469,2026-02-13,2026-02-12,2026-02-13,97313,39,Y,Y,75.28,N,,N,,,Y,Y,Y,Y,0,Closed
ENT-060114,Stock Split,R-50149,2025-11-28,S709794,GQL3ARI8Z,KYGQL3ARI8Z4,CDS,2025-11-28,2025-11-29,2025-12-11,,0.6783,0.7071,74199,74199,74180,N,Y,PS-10705,282,216,2025-12-12,2025-12-11,2025-12-12,50329,40,N,N,0,N,,N,,,Y,Y,N,Y,168.1,Pending Reconciliation
ENT-060115,Optional Stock Dividend,R-83642,2025-09-28,S640378,74DN24QPH,CA74DN24QPH4,DTC,2025-09-28,2025-09-29,2025-10-08,,0.363,0.3626,79519,79500,79507,N,Y,PS-16910,1712,-431,2025-10-09,2025-10-08,2025-10-09,28865,25,N,N,0,Y,231.33,Y,732.74,,Y,Y,N,Y,270.08,Pending Reconciliation
ENT-060116,Rights Issue,R-55318,2026-03-03,S036040,FYXP5NGG3,BMFYXP5NGG33,I&TS,2026-03-03,2026-03-03,2026-03-11,,2.7082,2.7164,46097,46052,46128,N,Y,PS-73274,127,203,2026-03-12,2026-03-11,2026-03-12,124839,47,Y,Y,191.28,N,,N,,,Y,Y,N,Y,399.8,Pending Reconciliation
ENT-060117,Stock Split,R-16162,2026-02-10,S267070,JPAUSQ8OW,USJPAUSQ8OW6,DTC,2026-02-10,2026-02-11,2026-02-23,,2.2108,2.3063,59398,59446,59437,N,Y,PS-53654,1000,-436,2026-02-24,2026-02-23,2026-02-24,131317,29,Y,Y,107.82,N,,N,,,Y,Y,N,Y,112.4,Pending Reconciliation
ENT-060118,Spin-Off,R-55744,2026-01-07,S873145,IOUGJM5LA,CAIOUGJM5LA0,CDS,2026-01-07,2026-01-08,2026-01-12,,1.2231,1.1845,94783,94804,94832,N,Y,PS-28993,32,191,2026-01-13,2026-01-12,2026-01-13,115929,10,Y,Y,163.68,N,,N,,,Y,Y,N,Y,452.51,Pending Reconciliation
ENT-060119,Rights Issue,R-18900,2025-07-20,S959780,REPZHFPJP,USREPZHFPJP8,Euroclear,2025-07-20,2025-07-21,2025-07-24,,1.4121,1.4617,15784,15778,15785,Y,N,,574,-490,2025-07-25,2025-07-24,2025-07-25,22288,42,N,N,0,N,,N,,,Y,Y,Y,Y,0,Closed
ENT-060120,Taxable Stock Dividend,R-97750,2025-07-04,S028611,HCTD25I0Y,BMHCTD25I0Y7,CDS,2025-07-04,2025-07-06,2025-07-08,,2.5356,2.5099,56669,56636,56657,N,Y,PS-45157,1730,-17,2025-07-09,2025-07-08,2025-07-09,143689,5,N,N,0,Y,493.57,Y,1118.4,T3,Y,Y,N,Y,123.19,Pending Reconciliation
