Voluntary Event ID,Bank Event ID,Depository Event ID,Depository,Security Name,Security Code,CUSIP,ISIN,SEDOL,Jurisdiction,Event Type,Offeror,New/Update Indicator,Event Status,Input Date,Release Date,Reorg Expiry Date,Issuer Expiry Date,Expiry Time,Special Handling Code,Publishing Officer,Processing Officer,Reviewer,Announcement Hyperlink,DSNet Published Flag,REOR Created Flag,TradeLink Available Flag,ServiceLink Instructions Flag,Number of Holders,Total Holdings,Tendered Shares,Number of Instructions,Over-Election Flag,Oversubscription Flag,Documentation Required Flag,Dutch Auction Flag,Concurrent Event Flag,Physical Certificate Required Flag,Final Status
VES-030061,BNK-0600061,DEP-09000061,I&TS,Umbra Technology AG,S937633,3O81NYR2P,BM3O81NYR2P2,11LGV2B,Bermuda,Dutch Auction,Northbridge Strategic,New,Pending,2025-11-06,2025-11-07,2025-11-26,2025-11-28,18:00 ET,TIME-SENS,P. Officer C,Pr. Officer B,Rev A,https://internal.example/ann/30061,N,N,Y,N,1397,1972564,527886,690,Y,N,N,Y,N,N,Pending
VES-030062,BNK-0600062,DEP-09000062,Euroclear,Cedarwood Logistics Ltd,S427498,4K56TL7AF,CA4K56TL7AF0,LCKZQXG,United States,Late Tender Offer,Capstone Holdings,New,Pending,2026-01-10,2026-01-12,2026-01-25,2026-01-27,12:00 ET,EXP-EXTN,P. Officer B,Pr. Officer D,Rev A,https://internal.example/ann/30062,N,N,Y,Y,2441,8682637,5048009,1731,N,N,N,N,N,N,Pending
VES-030063,BNK-0600063,DEP-09000063,CDS,Kestrel Resources plc,S643872,SIDDRYO1O,GBSIDDRYO1O5,LS4NBYF,United States,Tender Offer,Ridgepoint Capital,Update,Pending,2025-09-21,2025-09-23,2025-10-11,2025-10-13,12:00 ET,DOC-HEAVY,P. Officer B,Pr. Officer C,Rev C,https://internal.example/ann/30063,N,N,Y,Y,1006,947652,423130,724,N,Y,Y,N,Y,N,Pending
VES-030064,BNK-0600064,DEP-09000064,I&TS,Ironbridge Trust NV,S385221,BMK2E1CAW,BMBMK2E1CAW1,C0XKSMY,Cayman Islands,Convertible Debenture Conversion,Ironclad Investments,New,Released,2026-01-10,2026-01-12,2026-02-05,2026-02-07,18:00 ET,TIME-SENS,P. Officer B,Pr. Officer B,Rev A,https://internal.example/ann/30064,Y,Y,N,N,936,2753712,1640823,407,N,N,N,N,N,N,Released
VES-030065,BNK-0600065,DEP-09000065,CDS,Meadowfield Logistics plc,S589485,N0BIMVE3K,BMN0BIMVE3K4,RJQ0544,Bermuda,Warrant Exercise,Kingfisher Capital,New,Released,2025-12-05,2025-12-05,2026-01-04,2026-01-06,23:59 ET,,P. Officer D,Pr. Officer D,Rev B,https://internal.example/ann/30065,Y,Y,Y,Y,1857,5853264,2092155,112,N,N,N,N,N,N,Released
VES-030066,BNK-0600066,DEP-09000066,I&TS,Harborlight Capital NV,S957888,6RXNT96UV,GB6RXNT96UV4,8C0RX6K,Bermuda,Warrant Redemption,Northbridge Strategic,New,Released,2026-02-11,2026-02-13,2026-03-10,2026-03-12,23:59 ET,BR-MISMATCH,P. Officer B,Pr. Officer D,Rev B,https://internal.example/ann/30066,Y,Y,Y,Y,0,0,0,0,N,N,Y,N,N,Y,Released
VES-030067,BNK-0600067,DEP-09000067,I&TS,Saltmarsh Resources Corp,S421737,UOOXI3CQU,CAUOOXI3CQU6,6GZJJZZ,Bermuda,Warrant Redemption,Northbridge Strategic,New,Released,2026-05-09,2026-05-11,2026-06-03,2026-06-05,23:59 ET,TIME-SENS,P. Officer A,Pr. Officer C,Rev A,https://internal.example/ann/30067,Y,Y,N,N,1091,2537666,1404203,493,N,N,N,N,N,N,Released
VES-030068,BNK-0600068,DEP-09000068,CDS,Umbra Bio AG,S322454,5MRBMVCOT,KY5MRBMVCOT4,1SXD48L,Cayman Islands,Rights Offering,Hightower Holdings,New,Released,2026-03-09,2026-03-10,2026-04-03,2026-04-05,18:00 ET,DUAL-DEPO,P. Officer D,Pr. Officer C,Rev A,https://internal.example/ann/30068,Y,Y,Y,Y,539,2082696,709276,235,N,N,N,N,N,N,Released
VES-030069,BNK-0600069,DEP-09000069,Euroclear,Doverpoint Logistics SE,S477620,65E1CH6RA,GB65E1CH6RA3,VD35GZV,Canada,Consent Solicitation,Whitewater Group,Update,Cancelled,2025-11-01,2025-11-02,2025-11-30,2025-12-02,12:00 ET,BR-MISMATCH,P. Officer D,Pr. Officer D,Rev C,https://internal.example/ann/30069,N,N,N,Y,1793,2944106,1477846,570,N,N,Y,N,Y,N,Cancelled
VES-030070,BNK-0600070,DEP-09000070,I&TS,Westmark Capital AG,S327353,6LXRQUAZG,CA6LXRQUAZG3,MLV5YMN,Cayman Islands,Cease Trade Notice,Issuer Itself,Update,Released,2026-01-16,2026-01-18,2026-02-11,2026-02-13,12:00 ET,DOC-HEAVY,P. Officer A,Pr. Officer A,Rev C,https://internal.example/ann/30070,Y,Y,Y,Y,891,3566673,1109805,91,N,N,N,N,N,N,Released
VES-030071,BNK-0600071,DEP-09000071,CDS,Verdant Energy Corp,S709794,GQL3ARI8Z,KYGQL3ARI8Z4,ZK2K3T9,United States,Rights Offering,Greylock Acquisition,New,Pending,2026-04-27,2026-04-27,2026-05-09,2026-05-11,23:59 ET,DUAL-DEPO,P. Officer A,Pr. Officer D,Rev B,https://internal.example/ann/30071,N,N,N,Y,812,3624768,529786,469,N,N,Y,N,Y,N,Pending
VES-030072,BNK-0600072,DEP-09000072,Euroclear,Verdant Aerospace NV,S029601,OHXVXQZ1J,CAOHXVXQZ1J4,HFDDGMH,United Kingdom,Odd Lot Offer,Greylock Acquisition,Update,Released,2025-08-27,2025-08-29,2025-10-04,2025-10-06,17:00 ET,,P. Officer C,Pr. Officer B,Rev A,https://internal.example/ann/30072,Y,Y,N,Y,1140,5435520,3311197,159,N,N,N,N,Y,N,Released
VES-030073,BNK-0600073,DEP-09000073,DTC,Fairhaven Bio NV,S735211,COX6ZJ8ND,BMCOX6ZJ8ND4,L4RVKNJ,United Kingdom,Dutch Auction,Stonecrest Partners,Update,Released,2026-04-28,2026-04-29,2026-05-19,2026-05-21,18:00 ET,,P. Officer A,Pr. Officer A,Rev B,https://internal.example/ann/30073,Y,Y,Y,N,3208,10506200,8142569,474,N,N,N,Y,N,N,Released
VES-030074,BNK-0600074,DEP-09000074,CDS,Meadowfield Bio Ltd,S882089,BNWJM9ZT4,USBNWJM9ZT49,HJ0672Y,Cayman Islands,Mini-Tender,Hightower Holdings,Update,Closed,2025-07-07,2025-07-08,2025-07-28,2025-07-30,12:00 ET,DUAL-DEPO,P. Officer D,Pr. Officer D,Rev C,https://internal.example/ann/30074,Y,Y,Y,N,938,4490206,2894431,79,N,N,N,N,N,N,Completed
VES-030075,BNK-0600075,DEP-09000075,Euroclear,Evergreen Energy NV,S828255,WVM09UVFJ,USWVM09UVFJ8,3W4LSQ3,Cayman Islands,Rights Offering,Greylock Acquisition,New,Released,2025-07-06,2025-07-06,2025-07-31,2025-08-02,12:00 ET,DOC-HEAVY,P. Officer A,Pr. Officer B,Rev A,https://internal.example/ann/30075,Y,Y,Y,Y,1683,1213443,228012,131,N,N,N,N,N,N,Released
VES-030076,BNK-0600076,DEP-09000076,CDS,Pinewright Energy AG,S222702,MKLM2ICM7,KYMKLM2ICM73,3LJY0BX,United States,Consent Solicitation,Kingfisher Capital,Update,On Hold,2026-01-16,2026-01-18,2026-02-08,2026-02-10,20:00 ET,DUAL-DEPO,P. Officer C,Pr. Officer C,Rev B,https://internal.example/ann/30076,N,N,Y,Y,1161,2169909,1243870,25,N,N,N,N,N,Y,On Hold
VES-030077,BNK-0600077,DEP-09000077,DTC,Glenmoor Holdings plc,S401117,HMWNR09HK,CAHMWNR09HK6,QRB00DH,United Kingdom,Consent Solicitation,Beacon Acquisition Corp,New,Closed,2025-06-02,2025-06-04,2025-06-13,2025-06-15,17:00 ET,BR-MISMATCH,P. Officer B,Pr. Officer A,Rev C,https://internal.example/ann/30077,Y,Y,N,Y,3232,10988800,4678385,3194,N,N,Y,N,N,N,Completed
VES-030078,BNK-0600078,DEP-09000078,I&TS,Aldergrove Bank Inc,S821591,W9DJSSI40,CAW9DJSSI403,9TP23Z2,United Kingdom,Consent Solicitation,Capstone Holdings,New,Pending,2025-09-03,2025-09-04,2025-10-06,2025-10-08,17:00 ET,TIME-SENS,P. Officer A,Pr. Officer D,Rev A,https://internal.example/ann/30078,N,N,Y,N,3169,4132376,2916455,1651,N,N,Y,N,N,N,Pending
VES-030079,BNK-0600079,DEP-09000079,I&TS,Ironbridge Trust NV,S385221,BMK2E1CAW,BMBMK2E1CAW1,C0XKSMY,Cayman Islands,Consent Exchange Offer,Blackstar Holdings,New,Released,2025-07-26,2025-07-26,2025-08-19,2025-08-21,20:00 ET,DOC-HEAVY,P. Officer D,Pr. Officer D,Rev A,https://internal.example/ann/30079,Y,Y,N,N,1439,943984,331927,1026,N,N,N,N,Y,N,Released
VES-030080,BNK-0600080,DEP-09000080,CDS,Umbra Resources plc,S786039,3Z4Y3B2QG,CA3Z4Y3B2QG6,7R0KSCF,Bermuda,Cease Trade Notice,Capstone Holdings,Update,Cancelled,2026-04-04,2026-04-04,2026-05-11,2026-05-13,17:00 ET,DOC-HEAVY,P. Officer C,Pr. Officer C,Rev C,https://internal.example/ann/30080,N,N,Y,N,3492,1351404,445269,871,N,N,N,N,N,Y,Cancelled
VES-030081,BNK-0600081,DEP-09000081,I&TS,Oakhill Bank AG,S689913,DXGC9J90G,BMDXGC9J90G0,KN8H478,United Kingdom,Mini-Tender,Stonecrest Partners,Update,Closed,2025-12-25,2025-12-26,2026-01-04,2026-01-06,23:59 ET,EXP-EXTN,P. Officer C,Pr. Officer C,Rev A,https://internal.example/ann/30081,Y,Y,Y,Y,2046,5202978,3277805,1210,N,N,N,N,N,N,Completed
VES-030082,BNK-0600082,DEP-09000082,Euroclear,Evergreen Holdings plc,S017543,02WA2TS4W,KY02WA2TS4W4,BMQDLR4,United Kingdom,Consent Solicitation,Stonecrest Partners,New,Released,2025-10-31,2025-11-02,2025-11-17,2025-11-19,18:00 ET,DUAL-DEPO,P. Officer B,Pr. Officer B,Rev C,https://internal.example/ann/30082,Y,Y,Y,N,454,1433278,36747,342,N,N,N,N,N,N,Released
VES-030083,BNK-0600083,DEP-09000083,CDS,Umbra Bio AG,S322454,5MRBMVCOT,KY5MRBMVCOT4,1SXD48L,Cayman Islands,Convertible Debenture Conversion,Stonecrest Partners,Update,Released,2025-08-26,2025-08-27,2025-09-14,2025-09-16,18:00 ET,,P. Officer B,Pr. Officer D,Rev A,https://internal.example/ann/30083,Y,Y,N,Y,895,4162645,2974306,868,N,N,N,N,N,N,Released
VES-030084,BNK-0600084,DEP-09000084,CDS,Zephyr Properties SE,S031501,E04ZI7CNK,CAE04ZI7CNK2,K9JK6VV,United States,Convertible Debenture Conversion,Northbridge Strategic,New,Released,2025-12-03,2025-12-03,2025-12-14,2025-12-16,18:00 ET,EXP-EXTN,P. Officer D,Pr. Officer C,Rev B,https://internal.example/ann/30084,Y,Y,N,Y,335,1337990,500756,128,N,N,N,N,N,N,Released
VES-030085,BNK-0600085,DEP-09000085,Euroclear,Pinewright Resources Ltd,S864645,MQ2KI9ZJP,CAMQ2KI9ZJP5,48RPB1J,United States,Late Tender Offer,Northbridge Strategic,Update,Released,2025-07-23,2025-07-24,2025-08-05,2025-08-07,23:59 ET,BR-MISMATCH,P. Officer B,Pr. Officer B,Rev C,https://internal.example/ann/30085,Y,Y,Y,Y,610,983320,664678,109,N,N,N,N,N,N,Released
VES-030086,BNK-0600086,DEP-09000086,I&TS,Nightingale Holdings Corp,S275840,35WXE59IY,US35WXE59IY9,LWDBMVL,Cayman Islands,Rights Offering,Ridgepoint Capital,Update,Closed,2026-03-01,2026-03-03,2026-03-23,2026-03-25,20:00 ET,BR-MISMATCH,P. Officer D,Pr. Officer C,Rev A,https://internal.example/ann/30086,Y,Y,N,Y,3070,7555270,3995294,1809,N,N,Y,N,N,N,Completed
VES-030087,BNK-0600087,DEP-09000087,Euroclear,Doverpoint Logistics AG,S261918,2KJYFZQOM,GB2KJYFZQOM3,142DW4T,United Kingdom,Warrant Exercise,Issuer Itself,Update,Closed,2026-03-05,2026-03-06,2026-04-13,2026-04-15,18:00 ET,DOC-HEAVY,P. Officer D,Pr. Officer C,Rev A,https://internal.example/ann/30087,Y,Y,Y,Y,37,45732,10689,26,N,N,N,N,Y,N,Completed
VES-030088,BNK-0600088,DEP-09000088,Euroclear,Oakhill Holdings Inc,S978684,TYPANCJY1,KYTYPANCJY18,D41JC9F,Canada,Late Tender Offer,Stonecrest Partners,New,On Hold,2025-12-05,2025-12-07,2026-01-05,2026-01-07,18:00 ET,TIME-SENS,P. Officer C,Pr. Officer D,Rev B,https://internal.example/ann/30088,N,N,Y,Y,2151,675414,544848,1561,Y,N,N,N,N,N,On Hold
VES-030089,BNK-0600089,DEP-09000089,DTC,Harborlight Industries SE,S335197,PYSOTNDMF,CAPYSOTNDMF4,ZK4VM3S,United States,Tender Offer,Issuer Itself,Update,Closed,2026-01-18,2026-01-20,2026-02-05,2026-02-07,12:00 ET,EXP-EXTN,P. Officer A,Pr. Officer B,Rev B,https://internal.example/ann/30089,Y,Y,Y,Y,2194,9423230,1506379,644,N,N,N,N,N,N,Completed
VES-030090,BNK-0600090,DEP-09000090,Euroclear,Tideline Logistics Corp,S720083,HR2OM8YYL,KYHR2OM8YYL3,CD54LZ7,United Kingdom,Mini-Tender,Blackstar Holdings,New,On Hold,2025-09-06,2025-09-06,2025-09-20,2025-09-22,17:00 ET,BR-MISMATCH,P. Officer D,Pr. Officer A,Rev A,https://internal.example/ann/30090,N,N,Y,N,3317,10630985,8987117,813,N,N,N,N,N,N,On Hold
VES-030091,BNK-0600091,DEP-09000091,CDS,Umbra Trust SA,S174849,CR079L3BG,USCR079L3BG2,3XG1LYJ,Bermuda,Early Tender Offer,Ridgepoint Capital,Update,Closed,2025-07-17,2025-07-19,2025-08-12,2025-08-14,20:00 ET,DOC-HEAVY,P. Officer A,Pr. Officer D,Rev A,https://internal.example/ann/30091,Y,Y,Y,Y,473,1591645,43677,135,N,N,N,N,N,N,Completed
VES-030092,BNK-0600092,DEP-09000092,DTC,Northstar Media NV,S642053,I8OXWXTJA,KYI8OXWXTJA5,6B6RXVC,United States,Tender Offer,Kingfisher Capital,New,Cancelled,2026-03-25,2026-03-25,2026-04-20,2026-04-22,17:00 ET,DUAL-DEPO,P. Officer D,Pr. Officer C,Rev B,https://internal.example/ann/30092,N,N,Y,N,1021,5043740,1869216,480,N,N,Y,N,N,N,Cancelled
VES-030093,BNK-0600093,DEP-09000093,DTC,Quartz Peak Media NV,S503775,IPUFV2XFR,CAIPUFV2XFR3,X99T708,Bermuda,Monthly Redemption Privilege,Ironclad Investments,Update,Released,2025-06-17,2025-06-18,2025-07-16,2025-07-18,18:00 ET,DUAL-DEPO,P. Officer D,Pr. Officer A,Rev B,https://internal.example/ann/30093,Y,Y,Y,N,2305,3505905,1328097,551,N,N,N,N,N,N,Released
VES-030094,BNK-0600094,DEP-09000094,Euroclear,Northstar Logistics plc,S640953,TTW7S0P9S,GBTTW7S0P9S4,SNPTBTJ,United States,Rights Offering,Hightower Holdings,Update,Closed,2025-11-04,2025-11-04,2025-11-26,2025-11-28,12:00 ET,DOC-HEAVY,P. Officer D,Pr. Officer A,Rev C,https://internal.example/ann/30094,Y,Y,Y,N,2715,369240,168895,2089,N,N,N,N,N,N,Completed
VES-030095,BNK-0600095,DEP-09000095,DTC,Verdant Media Ltd,S455142,RQ0P0VNVB,KYRQ0P0VNVB2,B73FSMJ,United Kingdom,Consent Solicitation,Kingfisher Capital,Update,Pending,2026-03-07,2026-03-07,2026-03-31,2026-04-02,12:00 ET,EXP-EXTN,P. Officer D,Pr. Officer A,Rev B,https://internal.example/ann/30095,N,N,Y,N,2038,8433244,5681447,1417,N,N,N,N,N,N,Pending
VES-030096,BNK-0600096,DEP-09000096,Euroclear,Cedarwood Capital plc,S661755,HLG2LMOD7,KYHLG2LMOD70,496B7H2,Cayman Islands,Monthly Redemption Privilege,Stonecrest Partners,New,Released,2025-10-26,2025-10-26,2025-12-03,2025-12-05,17:00 ET,BR-MISMATCH,P. Officer D,Pr. Officer B,Rev A,https://internal.example/ann/30096,Y,Y,Y,N,2374,6193766,2009573,1928,N,N,Y,N,N,N,Released
VES-030097,BNK-0600097,DEP-09000097,DTC,Riverstone Resources Ltd,S441428,EH73XTNRT,KYEH73XTNRT1,8Y4JRM7,Cayman Islands,Early Tender Offer,Northbridge Strategic,Update,Released,2026-05-09,2026-05-10,2026-05-26,2026-05-28,18:00 ET,DUAL-DEPO,P. Officer D,Pr. Officer A,Rev A,https://internal.example/ann/30097,Y,Y,Y,N,1476,3393324,2453621,24,N,N,N,N,N,N,Released
VES-030098,BNK-0600098,DEP-09000098,I&TS,Zephyr Mining Corp,S806053,K5PVFQKP8,CAK5PVFQKP88,609DWS0,United States,Monthly Redemption Privilege,Kingfisher Capital,New,Closed,2025-12-20,2025-12-20,2026-01-25,2026-01-27,20:00 ET,EXP-EXTN,P. Officer B,Pr. Officer D,Rev A,https://internal.example/ann/30098,Y,Y,Y,N,1192,5675112,3374656,892,N,N,Y,N,N,N,Completed
VES-030099,BNK-0600099,DEP-09000099,CDS,Kestrel Resources plc,S643872,SIDDRYO1O,GBSIDDRYO1O5,LS4NBYF,United States,Annual Redemption Privilege,Beacon Acquisition Corp,New,Closed,2025-09-21,2025-09-22,2025-10-21,2025-10-23,17:00 ET,,P. Officer B,Pr. Officer A,Rev C,https://internal.example/ann/30099,Y,Y,Y,Y,234,1027494,475610,38,N,N,N,N,N,N,Completed
VES-030100,BNK-0600100,DEP-09000100,DTC,Zephyr Resources NV,S793154,GKHRT44H6,BMGKHRT44H63,NB5NXXY,Bermuda,Exchange Offer,Issuer Itself,New,Pending,2026-04-01,2026-04-03,2026-04-26,2026-04-28,12:00 ET,BR-MISMATCH,P. Officer A,Pr. Officer A,Rev B,https://internal.example/ann/30100,N,N,Y,Y,1219,6006013,3869828,1185,N,N,N,N,N,N,Pending
VES-030101,BNK-0600101,DEP-09000101,CDS,Nightingale Communications NV,S907871,PR3TT2SBJ,KYPR3TT2SBJ1,X5RGJTW,Cayman Islands,Annual Redemption Privilege,Hightower Holdings,New,Pending,2026-05-14,2026-05-14,2026-06-02,2026-06-04,23:59 ET,TIME-SENS,P. Officer A,Pr. Officer A,Rev B,https://internal.example/ann/30101,N,N,Y,N,1111,965459,634425,715,Y,N,N,N,N,N,Pending
VES-030102,BNK-0600102,DEP-09000102,I&TS,Kestrel Industries NV,S904578,LW843F2IV,KYLW843F2IV3,DQ7SHD8,United Kingdom,Annual Redemption Privilege,Kingfisher Capital,New,Released,2026-02-24,2026-02-24,2026-03-26,2026-03-28,17:00 ET,BR-MISMATCH,P. Officer B,Pr. Officer A,Rev B,https://internal.example/ann/30102,Y,Y,Y,Y,1316,4545464,191405,1034,N,N,N,N,N,N,Released
VES-030103,BNK-0600103,DEP-09000103,Euroclear,Umbra Energy AG,S843399,BR0KI3125,KYBR0KI31252,2318X2N,Canada,Warrant Exercise,Ironclad Investments,Update,Released,2025-07-11,2025-07-11,2025-07-30,2025-08-01,18:00 ET,EXP-EXTN,P. Officer D,Pr. Officer D,Rev B,https://internal.example/ann/30103,Y,Y,Y,N,1477,2249471,494813,787,N,N,N,N,N,N,Released
VES-030104,BNK-0600104,DEP-09000104,CDS,Meadowfield Pharmaceuticals Ltd,S260312,K0PMUJVWY,GBK0PMUJVWY3,L99Z9JZ,Canada,Rights Offering,Beacon Acquisition Corp,New,Closed,2025-09-15,2025-09-15,2025-10-10,2025-10-12,23:59 ET,TIME-SENS,P. Officer A,Pr. Officer C,Rev B,https://internal.example/ann/30104,Y,Y,Y,N,743,343266,262340,126,N,N,N,N,N,N,Completed
VES-030105,BNK-0600105,DEP-09000105,Euroclear,Tideline Bank plc,S815467,H5VJV2PUJ,USH5VJV2PUJ7,FZR8P1K,Canada,Consent Exchange Offer,Capstone Holdings,Update,Cancelled,2025-06-07,2025-06-07,2025-07-06,2025-07-08,17:00 ET,,P. Officer B,Pr. Officer C,Rev B,https://internal.example/ann/30105,N,N,N,N,1837,7252476,1727186,1234,N,N,N,N,N,N,Cancelled
VES-030106,BNK-0600106,DEP-09000106,CDS,Kestrel Logistics NV,S214022,MF92A6Y9H,GBMF92A6Y9H3,NDPV2HB,Cayman Islands,Rights Offering,Issuer Itself,New,Released,2026-04-20,2026-04-21,2026-05-19,2026-05-21,12:00 ET,BR-MISMATCH,P. Officer C,Pr. Officer A,Rev B,https://internal.example/ann/30106,Y,Y,Y,N,83,404044,29289,4,N,N,N,N,Y,N,Released
VES-030107,BNK-0600107,DEP-09000107,I&TS,Harborlight Aerospace Inc,S271586,ZM2NGCQVP,CAZM2NGCQVP3,V7VJ9MQ,Canada,Tender Offer,Capstone Holdings,New,Released,2025-10-29,2025-10-29,2025-11-15,2025-11-17,20:00 ET,TIME-SENS,P. Officer B,Pr. Officer C,Rev C,https://internal.example/ann/30107,Y,Y,Y,Y,1678,1656186,1210734,1207,N,N,Y,N,N,Y,Released
VES-030108,BNK-0600108,DEP-09000108,Euroclear,Tideline Capital SA,S218466,80QXORTIR,KY80QXORTIR7,0FC9LTL,Canada,Tender Offer,Capstone Holdings,New,Released,2025-10-10,2025-10-10,2025-10-24,2025-10-26,12:00 ET,TIME-SENS,P. Officer B,Pr. Officer B,Rev C,https://internal.example/ann/30108,Y,Y,N,N,579,2665137,1158265,111,N,N,N,N,N,N,Released
VES-030109,BNK-0600109,DEP-09000109,Euroclear,Westmark Communications Inc,S571551,VXFZTXI76,CAVXFZTXI763,G6W6ZBW,United Kingdom,Late Tender Offer,Issuer Itself,Update,Released,2026-05-16,2026-05-17,2026-06-04,2026-06-06,17:00 ET,,P. Officer A,Pr. Officer D,Rev A,https://internal.example/ann/30109,Y,Y,Y,N,2201,6561181,180793,875,N,Y,N,N,N,N,Released
VES-030110,BNK-0600110,DEP-09000110,I&TS,Meadowfield Holdings AG,S671081,9DNRRNDAK,BM9DNRRNDAK9,22W315Z,Cayman Islands,Annual Redemption Privilege,Hightower Holdings,New,Released,2025-10-12,2025-10-14,2025-10-23,2025-10-25,20:00 ET,TIME-SENS,P. Officer C,Pr. Officer D,Rev B,https://internal.example/ann/30110,Y,Y,Y,Y,3084,7312164,4499048,1865,N,N,Y,N,N,N,Released
VES-030111,BNK-0600111,DEP-09000111,CDS,Umbra Technology SE,S970784,MD17LCOGJ,BMMD17LCOGJ6,2NZR91C,Bermuda,Consent Solicitation,Hightower Holdings,New,Closed,2025-08-16,2025-08-17,2025-09-10,2025-09-12,17:00 ET,DUAL-DEPO,P. Officer D,Pr. Officer D,Rev B,https://internal.example/ann/30111,Y,Y,Y,N,1467,2094876,530773,832,N,N,N,N,N,Y,Completed
VES-030112,BNK-0600112,DEP-09000112,Euroclear,Oakhill Media SE,S952865,2J5ZV2ZU7,US2J5ZV2ZU77,GWSJXSY,United Kingdom,Exchange Offer,Kingfisher Capital,New,Closed,2025-08-04,2025-08-06,2025-08-22,2025-08-24,23:59 ET,DOC-HEAVY,P. Officer B,Pr. Officer D,Rev A,https://internal.example/ann/30112,Y,Y,Y,N,2078,2485288,1273000,1102,N,N,N,N,N,N,Completed
VES-030113,BNK-0600113,DEP-09000113,Euroclear,Umbra Energy AG,S843399,BR0KI3125,KYBR0KI31252,2318X2N,Canada,Dutch Auction,Beacon Acquisition Corp,New,Pending,2026-04-26,2026-04-27,2026-05-24,2026-05-26,12:00 ET,EXP-EXTN,P. Officer A,Pr. Officer A,Rev A,https://internal.example/ann/30113,N,N,Y,N,168,582960,280019,46,N,N,N,Y,N,N,Pending
VES-030114,BNK-0600114,DEP-09000114,I&TS,Brightcap Bio Inc,S811067,M9AN33RDP,KYM9AN33RDP6,B0GSJSY,Bermuda,Convertible Debenture Conversion,Capstone Holdings,Update,On Hold,2026-01-05,2026-01-05,2026-01-15,2026-01-17,23:59 ET,EXP-EXTN,P. Officer B,Pr. Officer B,Rev A,https://internal.example/ann/30114,N,N,Y,N,810,1070010,745794,664,N,N,N,N,N,N,On Hold
VES-030115,BNK-0600115,DEP-09000115,DTC,Kestrel Industries NV,S904578,LW843F2IV,KYLW843F2IV3,DQ7SHD8,United Kingdom,Tender Offer,Ironclad Investments,New,Released,2026-02-11,2026-02-12,2026-03-18,2026-03-20,23:59 ET,DUAL-DEPO,P. Officer D,Pr. Officer C,Rev B,https://internal.example/ann/30115,Y,Y,Y,N,3162,8622774,5962289,2612,N,N,N,N,N,N,Released
VES-030116,BNK-0600116,DEP-09000116,CDS,Zephyr Resources NV,S387935,UMVU05V6P,KYUMVU05V6P4,RZSBMD2,United States,Early Tender Offer,Ridgepoint Capital,New,Pending,2025-10-28,2025-10-29,2025-11-15,2025-11-17,23:59 ET,EXP-EXTN,P. Officer B,Pr. Officer A,Rev A,https://internal.example/ann/30116,N,N,N,N,0,0,0,0,N,N,N,N,N,N,Pending
VES-030117,BNK-0600117,DEP-09000117,I&TS,Zephyr Mining Corp,S806053,K5PVFQKP8,CAK5PVFQKP88,609DWS0,United States,Monthly Redemption Privilege,Issuer Itself,New,On Hold,2025-11-30,2025-11-30,2026-01-01,2026-01-03,12:00 ET,TIME-SENS,P. Officer D,Pr. Officer D,Rev A,https://internal.example/ann/30117,N,N,N,N,3461,11272477,5023284,1905,N,N,N,N,Y,N,On Hold
VES-030118,BNK-0600118,DEP-09000118,CDS,Zephyr Communications Ltd,S805462,AM9642FPF,CAAM9642FPF1,ZJLTR26,United States,Consent Solicitation,Whitewater Group,New,On Hold,2025-06-18,2025-06-18,2025-07-06,2025-07-08,20:00 ET,DOC-HEAVY,P. Officer B,Pr. Officer B,Rev C,https://internal.example/ann/30118,N,N,N,N,1377,2730591,648849,996,Y,N,N,N,N,N,On Hold
VES-030119,BNK-0600119,DEP-09000119,I&TS,Westmark Capital AG,S327353,6LXRQUAZG,CA6LXRQUAZG3,MLV5YMN,Cayman Islands,Cease Trade Notice,Kingfisher Capital,New,Released,2026-03-27,2026-03-29,2026-04-28,2026-04-30,17:00 ET,TIME-SENS,P. Officer B,Pr. Officer B,Rev B,https://internal.example/ann/30119,Y,Y,Y,Y,449,858937,631127,115,N,N,N,N,N,N,Released
VES-030120,BNK-0600120,DEP-09000120,Euroclear,Meadowfield Pharmaceuticals Corp,S748889,PXPZ4C5PL,GBPXPZ4C5PL8,FS3CY22,Cayman Islands,Exchange Offer,Beacon Acquisition Corp,Update,Released,2025-11-07,2025-11-09,2025-11-20,2025-11-22,20:00 ET,EXP-EXTN,P. Officer A,Pr. Officer B,Rev C,https://internal.example/ann/30120,Y,Y,Y,Y,1850,5198500,1080469,1485,N,N,N,N,N,N,Released
VES-030121,BNK-0600121,DEP-09000121,I&TS,Evergreen Bank AG,S086943,WJ0U8M084,BMWJ0U8M0845,WQFP206,United States,Late Tender Offer,Hightower Holdings,New,Released,2025-09-09,2025-09-11,2025-09-25,2025-09-27,20:00 ET,TIME-SENS,P. Officer A,Pr. Officer D,Rev A,https://internal.example/ann/30121,Y,Y,Y,Y,661,746930,499342,628,N,N,N,N,N,N,Released
VES-030122,BNK-0600122,DEP-09000122,Euroclear,Juniper Mining plc,S007795,IOQSTII9A,CAIOQSTII9A6,3R3D9YG,Bermuda,Exchange Offer,Hightower Holdings,Update,Released,2025-08-17,2025-08-17,2025-08-25,2025-08-27,23:59 ET,BR-MISMATCH,P. Officer A,Pr. Officer A,Rev B,https://internal.example/ann/30122,Y,Y,Y,N,2236,4199208,292454,1543,Y,N,N,N,N,N,Released
