Bulletin Review ID,Review Date,Previous Business Date,Depository,Bulletin ID,Depository Event ID,Report Type,Event Type,Sub Event Type,Release Type,CA Type,Security Name,Security Code,CUSIP,ISIN,SEDOL,Holder Check Performed Flag,Holder Check System,Holder Count,No Holders Flag,No Security Code Flag,Added To VES Flag,Added To No Holders Report Flag,Existing VES Record Flag,VES Status,VES New/Update Indicator,Input Date Updated Flag,Extension Required Flag,Update Required Flag,FIO Flag,TNA Flag,Forwarded To Processing Officer Flag,Forwarded To Publishing Officer Flag,Forwarded To Shareholder Services Flag,Routed To Mandatory Team Flag,Comment,Font Colour Indicator,Email Distribution Required Flag
BR-0080073,2025-12-09,2025-12-08,CDS,BUL-CDS-347959,DEP-09000037,CDS Daily Bulletin,Late Tender Offer,,Update,M,Doverpoint Properties Ltd,S927373,Z5NPKC098,BMZ5NPKC0981,LL4FZT1,Y,RCM,2183,N,N,N,N,Y,Closed,Update,N,N,Y,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Black,Y
BR-0080074,2025-12-18,2025-12-17,DTC,BUL-DTC-265004,DEP-09000038,Declared Payable Redemptions,Warrant Redemption,,Initial,,Harborlight Industries SE,S335197,PYSOTNDMF,CAPYSOTNDMF4,ZK4VM3S,Y,RCM,1805,N,N,Y,N,N,Pending,New,N,N,N,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Green,N
BR-0080075,2026-03-07,2026-03-06,Euroclear,BUL-Euroclear-738840,DEP-09000039,Euroclear Daily Notice,Odd Lot Offer,,Update,,Kestrel Industries NV,S904578,LW843F2IV,KYLW843F2IV3,DQ7SHD8,Y,Broadridge,1698,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Document package received from offeror.,Red,N
BR-0080076,2026-03-17,2026-03-16,Euroclear,BUL-Euroclear-154619,DEP-09000039,Euroclear Daily Notice,Odd Lot Offer,,Initial,,Kestrel Industries NV,S904578,LW843F2IV,KYLW843F2IV3,DQ7SHD8,Y,Broadridge,1701,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,,Green,N
BR-0080077,2025-06-21,2025-06-20,I&TS,BUL-I&TS-983200,DEP-09000040,Email Attachment,Monthly Redemption Privilege,,Initial,,Ironbridge Mining plc,S725323,CFH0LWDKB,CACFH0LWDKB2,1D7XJRG,Y,RCM,2481,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,,Green,Y
BR-0080078,2025-07-02,2025-07-01,I&TS,BUL-I&TS-760221,DEP-09000040,Excel Conversion,Monthly Redemption Privilege,,Final,,Ironbridge Mining plc,S725323,CFH0LWDKB,CACFH0LWDKB2,1D7XJRG,Y,DSNet,2482,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,,Red,N
BR-0080079,2025-07-03,2025-07-02,I&TS,BUL-I&TS-423546,DEP-09000040,PDF Binder,Monthly Redemption Privilege,,Update,,Ironbridge Mining plc,S725323,CFH0LWDKB,CACFH0LWDKB2,1D7XJRG,Y,RCM,2486,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Black,Y
BR-0080080,2025-10-12,2025-10-11,Euroclear,BUL-Euroclear-496838,DEP-09000041,Euroclear Daily Notice,Warrant Redemption,,Update,,Doverpoint Media SE,S586514,B5LQ0YNTP,CAB5LQ0YNTP1,9K97ZQX,Y,RCM,1032,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,,Green,N
BR-0080081,2025-08-06,2025-08-05,I&TS,BUL-I&TS-249916,DEP-09000042,Excel Conversion,Exchange Offer,,Update,,Cedarwood Resources Ltd,S649062,WYKE9O860,BMWYKE9O8602,YQ1CRVL,Y,REOR,2750,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,Y,N,Document package received from offeror.,Blue,N
BR-0080082,2025-09-06,2025-09-05,DTC,BUL-DTC-848812,DEP-09000043,Declared Payable Redemptions,Rights Offering,,Final,,Fairhaven Energy AG,S137496,1584IYRSN,CA1584IYRSN6,C4KFZ58,Y,Broadridge,3004,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,Y,N,Document package received from offeror.,Blue,N
BR-0080083,2025-07-30,2025-07-29,Euroclear,BUL-Euroclear-804812,DEP-09000044,Euroclear Daily Notice,Dutch Auction,,Initial,,Kestrel Holdings NV,S997319,XVSDIEX0Q,USXVSDIEX0Q9,J6PJBR2,Y,RCM,2256,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Holder check confirms population.,Green,N
BR-0080084,2025-06-10,2025-06-09,DTC,BUL-DTC-243398,DEP-09000045,RPA Updated with Position,Mini-Tender,,Final,,Oakhill Logistics Corp,S600207,MM1XVFLZZ,KYMM1XVFLZZ2,RKCDMB8,Y,RCM,3445,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,Y,N,No holders identified; archived to NHR.,Red,Y
BR-0080085,2025-09-11,2025-09-10,DTC,BUL-DTC-456327,DEP-09000046,RPA Updated with Position,Consent Exchange Offer,,Initial,,Glenmoor Holdings plc,S401117,HMWNR09HK,CAHMWNR09HK6,QRB00DH,Y,Broadridge,588,N,N,Y,N,N,Pending,New,N,N,N,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Green,N
BR-0080086,2025-12-13,2025-12-12,Euroclear,BUL-Euroclear-507831,DEP-09000047,Euroclear Daily Notice,Warrant Redemption,,Update,,Larkspur Aerospace AG,S130331,JXIO6L01A,CAJXIO6L01A7,Z0W9ZCR,Y,RCM,1364,N,N,Y,N,N,Pending,New,N,N,N,N,N,Y,Y,N,N,,Red,Y
BR-0080087,2025-12-23,2025-12-22,Euroclear,BUL-Euroclear-876387,DEP-09000047,Euroclear Daily Notice,Warrant Redemption,,Final,,Larkspur Aerospace AG,S130331,JXIO6L01A,CAJXIO6L01A7,Z0W9ZCR,Y,DSNet,1364,N,N,N,N,Y,Pending,Update,N,Y,Y,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Black,N
BR-0080088,2025-12-26,2025-12-25,Euroclear,BUL-Euroclear-444771,DEP-09000047,Euroclear Daily Notice,Warrant Redemption,,Update,,Larkspur Aerospace AG,S130331,JXIO6L01A,CAJXIO6L01A7,Z0W9ZCR,Y,DSNet,1363,N,N,N,N,Y,Pending,Update,N,N,Y,N,Y,Y,Y,Y,N,Document package received from offeror.,Blue,Y
BR-0080089,2025-07-25,2025-07-24,Euroclear,BUL-Euroclear-910434,DEP-09000048,Euroclear Daily Notice,Consent Exchange Offer,,Update,,Yarrow Aerospace SA,S364869,243Q63M0K,GB243Q63M0K8,WN1F1T8,Y,RCM,1591,N,N,Y,N,N,Pending,New,N,N,N,N,N,Y,Y,Y,N,Update reflects revised expiry from depository.,Blue,Y
BR-0080090,2025-07-29,2025-07-28,Euroclear,BUL-Euroclear-716170,DEP-09000048,Euroclear Daily Notice,Consent Exchange Offer,,Initial,,Yarrow Aerospace SA,S364869,243Q63M0K,GB243Q63M0K8,WN1F1T8,Y,RCM,1590,N,N,N,N,Y,Pending,Update,N,N,Y,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Blue,N
BR-0080091,2026-02-06,2026-02-05,DTC,BUL-DTC-934371,DEP-09000049,Declared Payable Redemptions,Dutch Auction,,Update,,Zephyr Communications plc,S519946,NOS5NV2EQ,USNOS5NV2EQ2,2GSKC6H,Y,REOR,623,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,,Blue,Y
BR-0080092,2026-01-15,2026-01-14,Euroclear,BUL-Euroclear-956258,DEP-09000050,Euroclear Daily Notice,Consent Exchange Offer,,Update,,Evergreen Holdings Ltd,S623726,J38QTE4MI,BMJ38QTE4MI3,74GVLZR,Y,Broadridge,443,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,,Blue,N
BR-0080093,2026-01-26,2026-01-25,Euroclear,BUL-Euroclear-593831,DEP-09000050,Euroclear Daily Notice,Consent Exchange Offer,,Initial,,Evergreen Holdings Ltd,S623726,J38QTE4MI,BMJ38QTE4MI3,74GVLZR,Y,REOR,447,N,N,N,N,Y,Closed,Update,N,N,Y,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Red,N
BR-0080094,2026-03-10,2026-03-09,Euroclear,BUL-Euroclear-768001,DEP-09000051,Euroclear Daily Notice,Monthly Redemption Privilege,,Final,,Tideline Aerospace AG,S651788,MDEPLR4KR,GBMDEPLR4KR3,NBTPCC8,Y,REOR,1012,N,N,Y,N,N,Released,New,N,Y,N,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Green,Y
BR-0080095,2025-10-06,2025-10-05,Euroclear,BUL-Euroclear-623271,DEP-09000052,Euroclear Daily Notice,Warrant Exercise,,Update,,Tideline Bank plc,S815467,H5VJV2PUJ,USH5VJV2PUJ7,FZR8P1K,Y,DSNet,2818,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,,Green,N
BR-0080096,2025-10-14,2025-10-13,Euroclear,BUL-Euroclear-560642,DEP-09000052,Euroclear Daily Notice,Warrant Exercise,,Final,,Tideline Bank plc,S815467,H5VJV2PUJ,USH5VJV2PUJ7,FZR8P1K,Y,DSNet,2813,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Red,Y
BR-0080097,2025-10-15,2025-10-14,Euroclear,BUL-Euroclear-908657,DEP-09000052,Euroclear Daily Notice,Warrant Exercise,,Update,,Tideline Bank plc,S815467,H5VJV2PUJ,USH5VJV2PUJ7,FZR8P1K,Y,Broadridge,2819,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Holder check confirms population.,Blue,Y
BR-0080098,2025-09-12,2025-09-11,DTC,BUL-DTC-936786,DEP-09000053,Declared Payable Redemptions,Warrant Exercise,,Update,,Zephyr Resources NV,S793154,GKHRT44H6,BMGKHRT44H63,NB5NXXY,Y,REOR,477,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Red,N
BR-0080099,2025-09-15,2025-09-14,DTC,BUL-DTC-324419,DEP-09000053,RPA Updated with Position,Warrant Exercise,,Final,,Zephyr Resources NV,S793154,GKHRT44H6,BMGKHRT44H63,NB5NXXY,Y,Broadridge,475,N,N,N,N,Y,Closed,Update,N,N,Y,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Red,N
BR-0080100,2026-03-31,2026-03-30,CDS,BUL-CDS-965765,DEP-09000054,CDS Daily Bulletin,Tender Offer,,Initial,G,Zephyr Logistics plc,S462195,YSTBFXPUK,CAYSTBFXPUK3,4DS918Q,Y,REOR,3358,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,Document package received from offeror.,Green,Y
BR-0080101,2026-04-04,2026-04-03,CDS,BUL-CDS-230208,DEP-09000054,CDS Daily Bulletin,Tender Offer,,Initial,G,Zephyr Logistics plc,S462195,YSTBFXPUK,CAYSTBFXPUK3,4DS918Q,Y,Broadridge,3357,N,N,N,N,Y,Closed,Update,N,Y,Y,Y,N,Y,Y,Y,N,No holders identified; archived to NHR.,Black,N
BR-0080102,2025-11-28,2025-11-27,Euroclear,BUL-Euroclear-326147,DEP-09000055,Euroclear Daily Notice,Mini-Tender,,Update,,Westmark Pharmaceuticals SA,S210795,MY3EKSVKF,USMY3EKSVKF9,RQW81VY,Y,REOR,124,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Document package received from offeror.,Red,Y
BR-0080103,2025-12-11,2025-12-10,Euroclear,BUL-Euroclear-915766,DEP-09000055,Euroclear Daily Notice,Mini-Tender,,Final,,Westmark Pharmaceuticals SA,S210795,MY3EKSVKF,USMY3EKSVKF9,RQW81VY,Y,REOR,121,N,N,N,N,Y,Released,Update,N,N,Y,Y,N,Y,Y,Y,N,Concurrent event flagged for procedure review.,Green,N
BR-0080104,2025-12-10,2025-12-09,Euroclear,BUL-Euroclear-416750,DEP-09000055,Euroclear Daily Notice,Mini-Tender,,Final,,Westmark Pharmaceuticals SA,S210795,MY3EKSVKF,USMY3EKSVKF9,RQW81VY,Y,DSNet,125,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Black,N
BR-0080105,2026-02-17,2026-02-16,Euroclear,BUL-Euroclear-342078,DEP-09000056,Euroclear Daily Notice,Consent Solicitation,,Final,,Northstar Logistics plc,S640953,TTW7S0P9S,GBTTW7S0P9S4,SNPTBTJ,Y,Broadridge,132,N,N,Y,N,N,Closed,New,N,Y,N,N,N,Y,Y,N,N,Document package received from offeror.,Green,Y
BR-0080106,2025-06-24,2025-06-23,CDS,BUL-CDS-715563,DEP-09000057,CDS Daily Bulletin,Consent Solicitation,,Final,G,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,T0W13Q2,Y,DSNet,1610,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Blue,N
BR-0080107,2025-07-04,2025-07-03,CDS,BUL-CDS-396615,DEP-09000057,CDS Daily Bulletin,Consent Solicitation,,Update,MWO,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,T0W13Q2,Y,DSNet,1607,N,N,N,N,Y,Released,Update,N,N,Y,N,Y,Y,Y,N,N,Concurrent event flagged for procedure review.,Green,N
BR-0080108,2025-07-08,2025-07-07,CDS,BUL-CDS-567688,DEP-09000057,CDS Daily Bulletin,Consent Solicitation,,Initial,V,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,T0W13Q2,Y,REOR,1605,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Green,N
BR-0080109,2025-08-01,2025-07-31,I&TS,BUL-I&TS-861403,DEP-09000058,Email Attachment,Dutch Auction,,Initial,,Brightcap Bio Inc,S811067,M9AN33RDP,KYM9AN33RDP6,B0GSJSY,Y,REOR,2628,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Blue,N
BR-0080110,2025-12-24,2025-12-23,I&TS,BUL-I&TS-987226,DEP-09000059,Macro-Created Report,Cease Trade Notice,,Initial,,Meadowfield Holdings AG,S671081,9DNRRNDAK,BM9DNRRNDAK9,22W315Z,Y,Broadridge,574,N,N,Y,N,N,Closed,New,N,N,N,N,Y,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Blue,Y
BR-0080111,2025-12-28,2025-12-27,I&TS,BUL-I&TS-132315,DEP-09000059,Macro-Created Report,Cease Trade Notice,,Initial,,Meadowfield Holdings AG,S671081,9DNRRNDAK,BM9DNRRNDAK9,22W315Z,Y,Broadridge,575,N,N,N,N,Y,Closed,Update,N,Y,Y,N,N,Y,Y,N,N,,Blue,N
BR-0080112,2025-06-10,2025-06-09,CDS,BUL-CDS-313559,DEP-09000060,CDS Daily Bulletin,Consent Solicitation,,Final,G,Fairhaven Logistics AG,S951288,EKLS5ZYG2,CAEKLS5ZYG24,V78K3CX,Y,Broadridge,0,Y,N,Y,Y,N,Released,New,N,N,N,N,N,N,N,N,N,Holder check confirms population.,Black,Y
BR-0080113,2025-06-12,2025-06-11,CDS,BUL-CDS-190435,DEP-09000060,CDS Daily Bulletin,Consent Solicitation,,Initial,MWO,Fairhaven Logistics AG,S951288,EKLS5ZYG2,CAEKLS5ZYG24,V78K3CX,Y,Broadridge,3,N,N,N,N,Y,Released,Update,N,Y,Y,N,N,Y,Y,N,N,,Black,Y
BR-0080114,2025-06-19,2025-06-18,CDS,BUL-CDS-301998,DEP-09000060,CDS Daily Bulletin,Consent Solicitation,,Final,V,Fairhaven Logistics AG,S951288,EKLS5ZYG2,CAEKLS5ZYG24,V78K3CX,Y,DSNet,3,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Red,N
BR-0080115,2025-11-02,2025-11-01,I&TS,BUL-I&TS-932465,DEP-09000061,Macro-Created Report,Dutch Auction,,Initial,,Umbra Technology AG,S937633,3O81NYR2P,BM3O81NYR2P2,11LGV2B,Y,DSNet,1397,N,N,Y,N,N,Pending,New,N,N,N,N,N,Y,Y,N,N,Document package received from offeror.,Red,N
BR-0080116,2025-11-16,2025-11-15,I&TS,BUL-I&TS-115226,DEP-09000061,Email Attachment,Dutch Auction,,Update,,Umbra Technology AG,S937633,3O81NYR2P,BM3O81NYR2P2,11LGV2B,Y,REOR,1402,N,N,N,N,Y,Pending,Update,N,N,Y,N,N,Y,Y,N,N,Holder check confirms population.,Green,N
BR-0080117,2025-11-13,2025-11-12,I&TS,BUL-I&TS-480287,DEP-09000061,Email Attachment,Dutch Auction,,Update,,Umbra Technology AG,S937633,3O81NYR2P,BM3O81NYR2P2,11LGV2B,Y,Broadridge,1394,N,N,N,N,Y,Pending,Update,N,N,Y,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Blue,N
BR-0080118,2026-01-05,2026-01-04,Euroclear,BUL-Euroclear-606342,DEP-09000062,Euroclear Daily Notice,Late Tender Offer,,Final,,Cedarwood Logistics Ltd,S427498,4K56TL7AF,CA4K56TL7AF0,LCKZQXG,Y,Broadridge,2441,N,N,Y,N,N,Pending,New,N,N,N,Y,N,Y,Y,N,N,Update reflects revised expiry from depository.,Blue,N
BR-0080119,2026-01-13,2026-01-12,Euroclear,BUL-Euroclear-242366,DEP-09000062,Euroclear Daily Notice,Late Tender Offer,,Initial,,Cedarwood Logistics Ltd,S427498,4K56TL7AF,CA4K56TL7AF0,LCKZQXG,Y,DSNet,2439,N,N,N,N,Y,Pending,Update,N,N,Y,Y,N,Y,Y,Y,N,Holder check confirms population.,Blue,Y
BR-0080120,2025-09-16,2025-09-15,CDS,BUL-CDS-280968,DEP-09000063,CDS Daily Bulletin,Tender Offer,,Update,MWO,Kestrel Resources plc,S643872,SIDDRYO1O,GBSIDDRYO1O5,LS4NBYF,Y,RCM,1006,N,N,Y,N,N,Pending,New,N,N,N,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Blue,Y
BR-0080121,2025-09-25,2025-09-24,CDS,BUL-CDS-484579,DEP-09000063,CDS Daily Bulletin,Tender Offer,,Final,M,Kestrel Resources plc,S643872,SIDDRYO1O,GBSIDDRYO1O5,LS4NBYF,Y,Broadridge,1006,N,N,N,N,Y,Pending,Update,N,N,Y,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Green,Y
BR-0080122,2026-01-06,2026-01-05,I&TS,BUL-I&TS-686157,DEP-09000064,Email Attachment,Convertible Debenture Conversion,,Initial,,Ironbridge Trust NV,S385221,BMK2E1CAW,BMBMK2E1CAW1,C0XKSMY,Y,REOR,936,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Black,N
BR-0080123,2026-01-18,2026-01-17,I&TS,BUL-I&TS-565881,DEP-09000064,Excel Conversion,Convertible Debenture Conversion,,Initial,,Ironbridge Trust NV,S385221,BMK2E1CAW,BMBMK2E1CAW1,C0XKSMY,Y,DSNet,936,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Document package received from offeror.,Green,Y
BR-0080124,2025-12-03,2025-12-02,CDS,BUL-CDS-521508,DEP-09000065,CDS Daily Bulletin,Warrant Exercise,,Update,G,Meadowfield Logistics plc,S589485,N0BIMVE3K,BMN0BIMVE3K4,RJQ0544,Y,DSNet,1857,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,,Blue,N
BR-0080125,2025-12-07,2025-12-06,CDS,BUL-CDS-890986,DEP-09000065,CDS Daily Bulletin,Warrant Exercise,,Initial,MWO,Meadowfield Logistics plc,S589485,N0BIMVE3K,BMN0BIMVE3K4,RJQ0544,Y,Broadridge,1854,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Document package received from offeror.,Green,Y
BR-0080126,2026-02-10,2026-02-09,I&TS,BUL-I&TS-586315,DEP-09000066,Email Attachment,Warrant Redemption,,Update,,Harborlight Capital NV,S957888,6RXNT96UV,GB6RXNT96UV4,8C0RX6K,Y,RCM,0,Y,N,Y,Y,N,Released,New,N,N,N,N,N,N,N,N,N,Holder check confirms population.,Black,N
BR-0080127,2026-02-17,2026-02-16,I&TS,BUL-I&TS-254690,DEP-09000066,Email Attachment,Warrant Redemption,,Initial,,Harborlight Capital NV,S957888,6RXNT96UV,GB6RXNT96UV4,8C0RX6K,Y,RCM,0,Y,N,N,Y,Y,Released,Update,N,N,Y,N,N,N,N,N,N,No holders identified; archived to NHR.,Red,Y
BR-0080128,2026-02-20,2026-02-19,I&TS,BUL-I&TS-781967,DEP-09000066,Excel Conversion,Warrant Redemption,,Initial,,Harborlight Capital NV,S957888,6RXNT96UV,GB6RXNT96UV4,8C0RX6K,Y,REOR,4,N,N,N,N,Y,Released,Update,N,N,Y,Y,N,Y,Y,N,N,Update reflects revised expiry from depository.,Green,N
BR-0080129,2026-05-04,2026-05-03,I&TS,BUL-I&TS-449932,DEP-09000067,Email Attachment,Warrant Redemption,,Initial,,Saltmarsh Resources Corp,S421737,UOOXI3CQU,CAUOOXI3CQU6,6GZJJZZ,Y,REOR,1091,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Black,N
BR-0080130,2026-03-09,2026-03-08,CDS,BUL-CDS-661490,DEP-09000068,CDS Daily Bulletin,Rights Offering,,Update,V,Umbra Bio AG,S322454,5MRBMVCOT,KY5MRBMVCOT4,1SXD48L,Y,Broadridge,539,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Holder check confirms population.,Black,N
BR-0080131,2026-03-16,2026-03-15,CDS,BUL-CDS-291780,DEP-09000068,CDS Daily Bulletin,Rights Offering,,Initial,G,Umbra Bio AG,S322454,5MRBMVCOT,KY5MRBMVCOT4,1SXD48L,Y,RCM,535,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Document package received from offeror.,Black,N
BR-0080132,2025-10-30,2025-10-29,Euroclear,BUL-Euroclear-645534,DEP-09000069,Euroclear Daily Notice,Consent Solicitation,,Update,,Doverpoint Logistics SE,S477620,65E1CH6RA,GB65E1CH6RA3,VD35GZV,Y,REOR,1793,N,N,N,N,N,Cancelled,New,N,N,N,N,N,Y,Y,N,N,Document package received from offeror.,Green,N
BR-0080133,2026-01-11,2026-01-10,I&TS,BUL-I&TS-627782,DEP-09000070,Email Attachment,Cease Trade Notice,,Final,,Westmark Capital AG,S327353,6LXRQUAZG,CA6LXRQUAZG3,MLV5YMN,Y,DSNet,891,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Document package received from offeror.,Green,N
BR-0080134,2026-01-20,2026-01-19,I&TS,BUL-I&TS-840467,DEP-09000070,PDF Binder,Cease Trade Notice,,Initial,,Westmark Capital AG,S327353,6LXRQUAZG,CA6LXRQUAZG3,MLV5YMN,Y,DSNet,896,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Black,N
BR-0080135,2026-01-26,2026-01-25,I&TS,BUL-I&TS-186367,DEP-09000070,Email Attachment,Cease Trade Notice,,Initial,,Westmark Capital AG,S327353,6LXRQUAZG,CA6LXRQUAZG3,MLV5YMN,Y,Broadridge,888,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Red,N
BR-0080136,2026-04-24,2026-04-23,CDS,BUL-CDS-970587,DEP-09000071,CDS Daily Bulletin,Rights Offering,,Final,MWO,Verdant Energy Corp,S709794,GQL3ARI8Z,KYGQL3ARI8Z4,ZK2K3T9,Y,RCM,812,N,N,Y,N,N,Pending,New,N,N,N,N,N,Y,Y,N,N,Document package received from offeror.,Red,Y
BR-0080137,2026-05-06,2026-05-05,CDS,BUL-CDS-282758,DEP-09000071,CDS Daily Bulletin,Rights Offering,,Update,V,Verdant Energy Corp,S709794,GQL3ARI8Z,KYGQL3ARI8Z4,ZK2K3T9,Y,RCM,809,N,N,N,N,Y,Pending,Update,N,Y,Y,N,Y,Y,Y,N,N,Holder check confirms population.,Black,Y
BR-0080138,2025-08-26,2025-08-25,Euroclear,BUL-Euroclear-486692,DEP-09000072,Euroclear Daily Notice,Odd Lot Offer,,Final,,Verdant Aerospace NV,S029601,OHXVXQZ1J,CAOHXVXQZ1J4,HFDDGMH,Y,REOR,1140,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Document package received from offeror.,Black,N
BR-0080139,2025-08-31,2025-08-30,Euroclear,BUL-Euroclear-836073,DEP-09000072,Euroclear Daily Notice,Odd Lot Offer,,Final,,Verdant Aerospace NV,S029601,OHXVXQZ1J,CAOHXVXQZ1J4,HFDDGMH,Y,DSNet,1135,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Blue,Y
BR-0080140,2026-04-26,2026-04-25,DTC,BUL-DTC-106133,DEP-09000073,RPA Create with Position,Dutch Auction,,Final,,Fairhaven Bio NV,S735211,COX6ZJ8ND,BMCOX6ZJ8ND4,L4RVKNJ,Y,Broadridge,3208,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Blue,N
BR-0080141,2025-07-04,2025-07-03,CDS,BUL-CDS-799148,DEP-09000074,CDS Daily Bulletin,Mini-Tender,,Final,M,Meadowfield Bio Ltd,S882089,BNWJM9ZT4,USBNWJM9ZT49,HJ0672Y,Y,DSNet,938,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,,Black,Y
BR-0080142,2025-07-14,2025-07-13,CDS,BUL-CDS-185072,DEP-09000074,CDS Daily Bulletin,Mini-Tender,,Update,V,Meadowfield Bio Ltd,S882089,BNWJM9ZT4,USBNWJM9ZT49,HJ0672Y,Y,DSNet,939,N,N,N,N,Y,Closed,Update,N,Y,Y,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Red,N
BR-0080143,2025-07-17,2025-07-16,CDS,BUL-CDS-983481,DEP-09000074,CDS Daily Bulletin,Mini-Tender,,Final,M,Meadowfield Bio Ltd,S882089,BNWJM9ZT4,USBNWJM9ZT49,HJ0672Y,Y,RCM,940,N,N,N,N,Y,Closed,Update,N,N,Y,N,N,Y,Y,Y,N,No holders identified; archived to NHR.,Red,Y
BR-0080144,2025-07-05,2025-07-04,Euroclear,BUL-Euroclear-610055,DEP-09000075,Euroclear Daily Notice,Rights Offering,,Initial,,Evergreen Energy NV,S828255,WVM09UVFJ,USWVM09UVFJ8,3W4LSQ3,Y,RCM,1683,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Black,Y
BR-0080145,2025-07-15,2025-07-14,Euroclear,BUL-Euroclear-608029,DEP-09000075,Euroclear Daily Notice,Rights Offering,,Initial,,Evergreen Energy NV,S828255,WVM09UVFJ,USWVM09UVFJ8,3W4LSQ3,Y,Broadridge,1683,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,Y,N,Concurrent event flagged for procedure review.,Red,N
BR-0080146,2026-01-16,2026-01-15,CDS,BUL-CDS-653016,DEP-09000076,CDS Daily Bulletin,Consent Solicitation,,Initial,V,Pinewright Energy AG,S222702,MKLM2ICM7,KYMKLM2ICM73,3LJY0BX,Y,DSNet,1161,N,N,Y,N,N,On Hold,New,N,N,N,N,N,Y,Y,N,N,,Blue,N
