Bond Event ID,Depository,Report Source,Report ID,CUSIP,ISIN,ADP Code,Security Description,Currency,Principal Amount,Interest Amount,Net Amount,Payment Rate,Maturity Date,Payment Date,Value Date,Payment Received Date,Payment Received Flag,Greater Than 5MM Flag,Control Account From,Control Account To,Reorg Bond Control Account,Manual Journal Required Flag,JEFE Required Flag,Journal Reference ID,Journal Status,Backdated Entry Flag,Client Payment Processed Flag,Payment Sheet Created Flag,Physical Certificate Flag,Certificate Number,Vault Box Account,Transfer Box Account,Computershare Sent Date,Courier Tracking Reference,Principal Interest Split Required Flag,Email Notification Sent Flag,Final Reconciliation Status
BND-050066,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-311637,CLUG2YRGC,CACLUG2YRGC1,96WMR8,Umbra Mining Inc 6.00% 2028,CAD,24747880.08,214814.07,24962694.15,104.8133,2025-12-24,2025-12-24,2025-12-24,2025-12-26,Y,Y,CA-88800,CA-59267,RBA-3638,Y,Y,JRN-102368,Posted,N,Y,Y,N,,,,,,N,Y,Variance Investigation
BND-050067,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-544709,UEDF3YTOR,USUEDF3YTOR2,KXVACM,Pinewright Properties NV Sub Notes 2032,CAD,17364167.06,78758.72,17442925.779999997,95.732,2025-09-12,2025-09-12,2025-09-12,2025-09-13,Y,Y,CA-20397,CA-61450,RBA-5432,Y,N,JRN-881964,Posted,N,Y,Y,N,,,,,,N,Y,Reconciled
BND-050068,DTC,DTC Full Call,RPT-DTC-664767,X69NI389U,GBX69NI389U4,2PIAP8,Ironbridge Capital plc Sub Notes 2032,EUR,23425466.56,735852.19,24161318.75,101.5553,2026-05-23,2026-05-23,2026-05-23,2026-05-24,Y,Y,CA-46295,CA-35868,RBA-1665,Y,Y,JRN-114586,Approved,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050069,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-718177,D8W72I6BN,GBD8W72I6BN5,SWXW3H,Juniper Bio Inc 6.00% 2028,EUR,12116601.4,458939.43,12575540.83,95.3976,2025-06-28,2025-06-28,2025-06-28,2025-06-28,Y,Y,CA-93115,CA-41154,RBA-6104,Y,N,JRN-360236,Pending Approval,N,Y,Y,N,,,,,,N,Y,Reconciled
BND-050070,CDS,CDS Daily Redemption,RPT-CDS-916087,HMWNR09HK,CAHMWNR09HK6,E8MJR6,Glenmoor Holdings plc 6.00% 2028,EUR,22971525.32,862870.57,23834395.89,100.0522,2026-03-19,2026-03-19,2026-03-19,2026-03-20,Y,Y,CA-60133,CA-98021,RBA-6787,Y,Y,JRN-396635,Reversed,N,Y,Y,N,,,,,,N,Y,Reconciled
BND-050071,DTC,DTC Full Call,RPT-DTC-616583,M9AN33RDP,KYM9AN33RDP6,VPBLXB,Brightcap Bio Inc Conv 4.5% 2027,EUR,296633.82,7751.83,304385.65,102.2254,2025-06-02,2025-06-02,2025-06-02,2025-06-02,Y,N,CA-48733,CA-30576,RBA-7956,N,N,,,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050072,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-785582,243Q63M0K,GB243Q63M0K8,X9GCVQ,Yarrow Aerospace SA Sub Notes 2032,CAD,23487436.43,578840.17,24066276.6,103.8033,2026-03-19,2026-03-19,2026-03-19,2026-03-19,Y,Y,CA-27060,CA-64856,RBA-4494,N,N,,,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050073,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-154380,MATWH65DV,KYMATWH65DV8,E4RJ7K,Nightingale Media plc 6.00% 2028,CAD,21803977.49,123465.41,21927442.9,103.635,2025-11-26,2025-11-26,2025-11-26,,N,Y,CA-62216,CA-31804,RBA-7938,Y,N,JRN-274233,Approved,N,N,N,Y,CERT-497666,VLT-420,XFR-307,2025-11-21,TRK148791183,Y,Y,Variance Investigation
BND-050074,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-656857,SDAN28YVA,KYSDAN28YVA1,CFHZBD,Yarrow Holdings Inc Sub Notes 2032,USD,18080027.19,64733.71,18144760.900000002,102.7541,2026-03-08,2026-03-08,2026-03-08,2026-03-11,Y,Y,CA-70083,CA-33301,RBA-5475,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050075,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-891008,T1AU71G4R,CAT1AU71G4R5,X06N4A,Oakhill Capital NV Conv 4.5% 2027,GBP,16382950.12,452140.12,16835090.24,95.8486,2025-06-23,2025-06-23,2025-06-23,2025-06-25,Y,Y,CA-15674,CA-78573,RBA-4639,N,N,,,N,Y,Y,Y,CERT-691786,VLT-858,XFR-879,2025-06-08,TRK740129282,Y,Y,Variance Investigation
BND-050076,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-232917,CLUG2YRGC,CACLUG2YRGC1,812ASY,Umbra Mining Inc 6.00% 2028,USD,12514091.86,278279.83,12792371.69,97.8522,2025-08-17,2025-08-17,2025-08-17,2025-08-19,Y,Y,CA-11211,CA-89795,RBA-3573,N,N,,,N,Y,Y,Y,CERT-239881,VLT-732,XFR-410,2025-08-12,TRK124461865,N,Y,Variance Investigation
BND-050077,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-548411,PEM59EVCX,BMPEM59EVCX8,MW2HN5,Meadowfield Holdings AG 5.25% 2031,GBP,22859052.74,851375.22,23710427.959999997,99.4439,2025-07-22,2025-07-22,2025-07-22,2025-07-24,Y,Y,CA-19557,CA-47875,RBA-9103,N,N,,,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050078,CDS,CDS Daily Redemption,RPT-CDS-284949,IOQSTII9A,CAIOQSTII9A6,XVX6X4,Juniper Mining plc Sub Notes 2032,CAD,8707603.73,97341.37,8804945.1,104.4649,2025-06-27,2025-06-27,2025-06-27,2025-06-27,Y,Y,CA-22389,CA-40139,RBA-3743,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050079,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-727469,IHUZ8ZS9T,USIHUZ8ZS9T7,8D0TYU,Pinewright Holdings Corp Sub Notes 2032,GBP,1632760.47,3853.71,1636614.18,100.288,2025-09-19,2025-09-19,2025-09-19,2025-09-22,Y,N,CA-62501,CA-30669,RBA-8298,N,N,,,N,Y,Y,Y,CERT-618292,VLT-610,XFR-191,2025-09-11,TRK820741133,Y,Y,In Progress
BND-050080,DTC,DTC Full Call,RPT-DTC-134957,HMWNR09HK,CAHMWNR09HK6,4U60SV,Glenmoor Holdings plc Sub Notes 2032,GBP,20671179.84,108643.73,20779823.57,97.2274,2025-08-31,2025-08-31,2025-08-31,2025-09-01,Y,Y,CA-98165,CA-20454,RBA-5293,Y,N,JRN-201260,Reversed,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050081,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-239353,V0LFPC6B6,USV0LFPC6B66,9IFLGX,Glenmoor Properties NV 5.25% 2031,CAD,13628420.09,25714.54,13654134.629999999,99.4179,2025-11-05,2025-11-05,2025-11-05,2025-11-06,Y,Y,CA-81587,CA-93008,RBA-7007,N,N,,,N,Y,Y,Y,CERT-267984,VLT-651,XFR-158,2025-10-22,TRK733810200,Y,Y,Variance Investigation
BND-050082,DTC,DTC Full Call,RPT-DTC-881113,FMID9M4HJ,BMFMID9M4HJ7,06VO1E,Oakhill Capital Ltd 6.00% 2028,EUR,7801501.63,130880.72,7932382.35,95.5806,2026-02-02,2026-02-02,2026-02-02,2026-02-02,Y,Y,CA-56745,CA-46303,RBA-1730,Y,Y,JRN-533933,Posted,N,Y,Y,N,,,,,,N,Y,Variance Investigation
BND-050083,CDS,CDS Daily Redemption,RPT-CDS-179539,COX6ZJ8ND,BMCOX6ZJ8ND4,GWS1YB,Fairhaven Bio NV Sub Notes 2032,CAD,13234112.06,258121.21,13492233.270000001,98.4562,2025-07-11,2025-07-11,2025-07-11,2025-07-11,Y,Y,CA-18503,CA-70745,RBA-8783,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050084,BNY,Bank of New York Scheduled Payment,RPT-BNY-350995,V0LFPC6B6,USV0LFPC6B66,NPV822,Glenmoor Properties NV FRN 2030,EUR,5125590.07,36441.74,5162031.8100000005,97.2848,2025-12-11,2025-12-11,2025-12-11,2025-12-14,Y,Y,CA-75556,CA-37267,RBA-3666,N,N,,,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050085,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-622627,PEM59EVCX,BMPEM59EVCX8,YNNBON,Meadowfield Holdings AG 6.00% 2028,EUR,2387482.3,4283.07,2391765.3699999996,99.5677,2026-04-20,2026-04-20,2026-04-20,2026-04-22,Y,N,CA-89194,CA-86586,RBA-3590,N,N,,,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050086,DTC,DTC Full Call,RPT-DTC-773293,HMWNR09HK,CAHMWNR09HK6,663PTI,Glenmoor Holdings plc 5.25% 2031,EUR,24688509.53,44399.32,24732908.85,95.5934,2025-08-26,2025-08-26,2025-08-26,2025-08-29,Y,Y,CA-73206,CA-93561,RBA-5882,Y,N,JRN-326434,Pending Approval,N,Y,Y,N,,,,,,N,Y,Variance Investigation
BND-050087,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-819767,NNVKF4SNA,USNNVKF4SNA1,UNFRW8,Juniper Communications SE 5.25% 2031,EUR,21689447.97,495297.58,22184745.549999997,102.6096,2025-12-13,2025-12-13,2025-12-13,,N,Y,CA-13759,CA-51720,RBA-4757,Y,Y,JRN-968113,Pending Approval,N,N,N,N,,,,,,Y,Y,Reconciled
BND-050088,CDS,CDS Daily Redemption,RPT-CDS-471107,T1AU71G4R,CAT1AU71G4R5,M9DQD9,Oakhill Capital NV Sub Notes 2032,CAD,18554836.2,680920.65,19235756.849999998,101.0363,2026-05-18,2026-05-18,2026-05-18,2026-05-20,Y,Y,CA-80246,CA-39913,RBA-5609,Y,Y,JRN-926228,Approved,N,Y,Y,N,,,,,,N,Y,In Progress
BND-050089,BNY,Bank of New York Scheduled Payment,RPT-BNY-695445,LW843F2IV,KYLW843F2IV3,L6Q019,Kestrel Industries NV Conv 4.5% 2027,EUR,24040684.35,935961.74,24976646.09,102.7557,2025-12-21,2025-12-21,2025-12-21,2025-12-24,Y,Y,CA-73855,CA-65268,RBA-1116,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050090,DTC,DTC Full Call,RPT-DTC-458136,T1AU71G4R,CAT1AU71G4R5,N1XVSC,Oakhill Capital NV 6.00% 2028,EUR,23177851.07,888449.38,24066300.45,101.1881,2025-10-02,2025-10-02,2025-10-02,2025-10-02,Y,Y,CA-70216,CA-90709,RBA-3226,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050091,DTC,DTC Full Call,RPT-DTC-743800,JSRFS7ZJF,CAJSRFS7ZJF3,HZPCQ5,Evergreen Resources Corp Conv 4.5% 2027,GBP,2820324.8,82815.02,2903139.82,100.9229,2025-11-17,2025-11-17,2025-11-17,2025-11-20,Y,N,CA-98350,CA-16168,RBA-6601,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050092,Euroclear,Euroclear Final Redemption,RPT-Euroclear-709504,243Q63M0K,GB243Q63M0K8,M60DJ3,Yarrow Aerospace SA 6.00% 2028,EUR,15053211.44,70574.47,15123785.91,103.32,2025-11-24,2025-11-24,2025-11-24,2025-11-27,Y,Y,CA-72895,CA-98548,RBA-2641,N,N,,,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050093,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-883864,EO530JMR8,KYEO530JMR86,DVFNDP,Juniper Pharmaceuticals SE FRN 2030,USD,7053088.32,33478.21,7086566.53,104.7658,2026-03-15,2026-03-15,2026-03-15,2026-03-17,Y,Y,CA-78712,CA-33466,RBA-3543,Y,Y,JRN-655615,Posted,N,Y,Y,N,,,,,,N,Y,Variance Investigation
BND-050094,BNY,Bank of New York Scheduled Payment,RPT-BNY-285369,J38QTE4MI,BMJ38QTE4MI3,O4RUTA,Evergreen Holdings Ltd Sub Notes 2032,GBP,17045294.81,678643.47,17723938.279999997,100.6871,2025-08-07,2025-08-07,2025-08-07,2025-08-09,Y,Y,CA-70392,CA-49644,RBA-5525,Y,Y,JRN-912942,Posted,Y,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050095,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-964578,0I0S2SFXQ,CA0I0S2SFXQ8,2WXFF4,Doverpoint Energy Inc 6.00% 2028,USD,13030935.3,306109.43,13337044.73,98.521,2025-11-20,2025-11-20,2025-11-20,2025-11-20,Y,Y,CA-46961,CA-68726,RBA-7152,N,N,,,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050096,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-855211,I8OKQ4R2E,USI8OKQ4R2E2,S432ML,Ironbridge Resources NV Sub Notes 2032,GBP,15158386.26,289189.25,15447575.51,97.0115,2026-03-17,2026-03-17,2026-03-17,2026-03-17,Y,Y,CA-72259,CA-42698,RBA-4580,N,N,,,Y,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050097,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-284029,YPU0CQTB7,KYYPU0CQTB77,E1MMC9,Glenmoor Bio Inc Sub Notes 2032,GBP,17768094.92,580369.75,18348464.67,103.763,2026-05-25,2026-05-25,2026-05-25,2026-05-28,Y,Y,CA-92591,CA-72119,RBA-3915,Y,N,JRN-853547,Reversed,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050098,Euroclear,Euroclear Final Redemption,RPT-Euroclear-824769,IHUZ8ZS9T,USIHUZ8ZS9T7,PENWRC,Pinewright Holdings Corp 6.00% 2028,CAD,21683093.38,246116.74,21929210.119999997,96.7729,2026-04-18,2026-04-18,2026-04-18,2026-04-21,Y,Y,CA-58306,CA-55920,RBA-9698,N,N,,,Y,Y,Y,N,,,,,,Y,Y,In Progress
BND-050099,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-867087,018LUMYCT,GB018LUMYCT2,HAFXET,Oakhill Technology SE Conv 4.5% 2027,USD,3268933.85,96104.99,3365038.8400000003,100.6314,2025-10-19,2025-10-19,2025-10-19,2025-10-21,Y,N,CA-86845,CA-21953,RBA-1224,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050100,DTC,DTC Full Call,RPT-DTC-333284,AIEWVKQAJ,KYAIEWVKQAJ4,BQLPF0,Brightcap Bio plc FRN 2030,CAD,8622957.6,96644.21,8719601.81,101.9744,2025-12-18,2025-12-18,2025-12-18,2025-12-21,Y,Y,CA-22629,CA-53760,RBA-3022,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050101,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-100825,YPU0CQTB7,KYYPU0CQTB77,JB5SKX,Glenmoor Bio Inc Sub Notes 2032,USD,16727827.05,83981.51,16811808.560000002,98.6458,2026-01-29,2026-01-29,2026-01-29,2026-01-29,Y,Y,CA-93206,CA-73447,RBA-2661,Y,Y,JRN-921026,Reversed,Y,Y,Y,Y,CERT-789186,VLT-377,XFR-888,2026-01-15,TRK196747126,Y,Y,In Progress
BND-050102,BNY,Bank of New York Scheduled Payment,RPT-BNY-426409,HMWNR09HK,CAHMWNR09HK6,5TBMIE,Glenmoor Holdings plc Conv 4.5% 2027,EUR,21482503.56,215662.03,21698165.59,96.851,2026-01-27,2026-01-27,2026-01-27,,N,Y,CA-11814,CA-78918,RBA-2133,N,N,,,N,N,N,N,,,,,,N,Y,Variance Investigation
BND-050103,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-443397,J38QTE4MI,BMJ38QTE4MI3,V6J7MS,Evergreen Holdings Ltd Sub Notes 2032,CAD,14158990.61,463262.58,14622253.19,96.4894,2025-06-12,2025-06-12,2025-06-12,2025-06-14,Y,Y,CA-77100,CA-15133,RBA-5212,N,N,,,N,Y,Y,N,,,,,,N,Y,Reconciled
BND-050104,Euroclear,Euroclear Final Redemption,RPT-Euroclear-330884,SDAN28YVA,KYSDAN28YVA1,V8OZ22,Yarrow Holdings Inc Sub Notes 2032,CAD,23750586.2,735493.61,24486079.81,97.3914,2025-12-30,2025-12-30,2025-12-30,2025-12-30,Y,Y,CA-96723,CA-55615,RBA-5707,N,N,,,N,Y,Y,Y,CERT-178019,VLT-920,XFR-600,2025-12-19,TRK351215085,Y,Y,Variance Investigation
BND-050105,CDS,CDS Daily Redemption,RPT-CDS-184329,IOQSTII9A,CAIOQSTII9A6,RSM14X,Juniper Mining plc FRN 2030,USD,24219434.94,731344.55,24950779.490000002,95.4633,2025-06-24,2025-06-24,2025-06-24,2025-06-25,Y,Y,CA-57825,CA-48673,RBA-4510,N,N,,,Y,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050106,Euroclear,Euroclear Final Redemption,RPT-Euroclear-611090,YPU0CQTB7,KYYPU0CQTB77,AB9RJ5,Glenmoor Bio Inc 5.25% 2031,USD,10027178.65,210449.5,10237628.15,99.4271,2026-02-06,2026-02-06,2026-02-06,2026-02-08,Y,Y,CA-80482,CA-85946,RBA-7950,N,N,,,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050107,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-735859,T1AU71G4R,CAT1AU71G4R5,UB72EH,Oakhill Capital NV Sub Notes 2032,CAD,5488968.27,172734.06,5661702.329999999,102.3598,2025-06-17,2025-06-17,2025-06-17,2025-06-20,Y,Y,CA-35173,CA-80785,RBA-8884,Y,Y,JRN-304827,Approved,N,Y,Y,Y,CERT-668582,VLT-443,XFR-186,2025-06-09,TRK520945739,Y,Y,Variance Investigation
BND-050108,BNY,Bank of New York Scheduled Payment,RPT-BNY-964593,2O31OBP1J,CA2O31OBP1J6,Y4CIPX,Cedarwood Bio Inc 5.25% 2031,USD,7352904.98,32780.69,7385685.670000001,96.4359,2025-08-30,2025-08-30,2025-08-30,2025-08-31,Y,Y,CA-92351,CA-50449,RBA-4982,N,N,,,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050109,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-656861,2O31OBP1J,CA2O31OBP1J6,TWZGFA,Cedarwood Bio Inc Sub Notes 2032,USD,23278590.87,146165.18,23424756.05,96.4662,2025-10-09,2025-10-09,2025-10-09,2025-10-12,Y,Y,CA-25510,CA-81024,RBA-9644,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050110,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-769917,I8OKQ4R2E,USI8OKQ4R2E2,UHZBCV,Ironbridge Resources NV Conv 4.5% 2027,GBP,11656930.54,454820.13,12111750.67,99.3586,2025-08-06,2025-08-06,2025-08-06,2025-08-07,Y,Y,CA-35164,CA-15529,RBA-5977,Y,Y,JRN-330672,Pending Approval,N,Y,Y,N,,,,,,N,Y,Variance Investigation
