Mandatory Event ID,Depository Event ID,Event Source,Event Type,Entry Code,Event Status,Business Line,Security Name,Security Code,CUSIP,ISIN,Jurisdiction,Depository,Depository Account,Submit/Hold Indicator,Submit/Hold Security Name,Submit/Hold Security Code,Submit/Hold ISIN,Submit/Hold Rate,Receive Security Name,Receive Security Code,Receive ISIN,Receive Rate,Receive Currency,Cash Rate,Record Date,Ex Date,Anticipated Payable Date,Actual Payable Date,Publish Date,Holder Count,Total Holdings,Control Account,Payment Required Flag,Payment Received Flag,Payment Processed Flag,Discrepancy Flag,Discrepancy Resolution Notes,Published to DSNet Flag,Published By,Reviewed By,Final Status
MEQ-040058,DEP-91000058,I&TS,No Payment / Deemed Worthless,NPMT,Published,Wealth Management,Meadowfield Bio Ltd,S882089,BNWJM9ZT4,USBNWJM9ZT49,Cayman Islands,CDS,DA-5160,Submit,Meadowfield Bio Ltd,S882089,USBNWJM9ZT49,2.5074,,,,,,,2025-09-12,2025-09-13,2025-09-19,,2025-09-01,1417,3291691,CA-13480,N,N,N,N,,Y,Pub A,Rev 2,In Progress
MEQ-040059,DEP-91000059,Broadridge,Stock Dividend,STDV,Pending,Wealth Management,Westmark Communications Inc,S571551,VXFZTXI76,CAVXFZTXI763,United Kingdom,CDS,DA-5307,Hold,Westmark Communications Inc,S571551,CAVXFZTXI763,2.1976,Cedarwood Industries plc,S673871,KYB463O9A4D0,2.9162,EUR,39.4739,2026-03-07,2026-03-09,2026-03-18,2026-03-20,2026-02-24,2608,4232784,CA-77889,Y,Y,Y,N,,Y,Pub A,Rev 1,Completed
MEQ-040060,DEP-91000060,DTC,Redemption,RDMP,Published,Capital Markets,Juniper Industries NV,S737316,581IBCFO8,BM581IBCFO83,Bermuda,I&TS,DA-6176,Hold,Juniper Industries NV,S737316,BM581IBCFO83,4.9308,,,,,,10.5803,2025-08-12,2025-08-14,2025-08-28,2025-08-29,2025-08-09,3440,1241840,CA-35038,Y,Y,Y,N,,Y,Pub A,Rev 2,Completed
MEQ-040061,DEP-91000061,Issuer Direct,Partial Call,PCAL,Published,Wealth Management,Westmark Communications Inc,S571551,VXFZTXI76,CAVXFZTXI763,United Kingdom,I&TS,DA-7086,Hold,Westmark Communications Inc,S571551,CAVXFZTXI763,0.7706,,,,,,42.3122,2025-09-09,2025-09-09,2025-09-23,2025-09-25,2025-08-27,3737,8359669,CA-12658,Y,Y,Y,N,,Y,Pub A,Rev 1,Completed
MEQ-040062,DEP-91000062,Euroclear,Full Call,FCAL,Closed,Wealth Management,Umbra Technology SE,S970784,MD17LCOGJ,BMMD17LCOGJ6,Bermuda,CDS,DA-3338,Hold,Umbra Technology SE,S970784,BMMD17LCOGJ6,2.9001,,,,,,0.5391,2026-01-11,2026-01-13,2026-01-17,2026-01-17,2025-12-29,28,34832,CA-77622,Y,Y,Y,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub B,Rev 1,Completed
MEQ-040063,DEP-91000063,Broadridge,No Payment / Deemed Worthless,NPMT,Published,Capital Markets,Ironbridge Trust Ltd,S233668,TUTZBQQBM,BMTUTZBQQBM4,Canada,DTC,DA-7644,Hold,Ironbridge Trust Ltd,S233668,BMTUTZBQQBM4,3.8584,,,,,,,2025-11-12,2025-11-12,2025-11-25,,2025-11-04,3100,7077300,CA-72779,N,N,N,N,,Y,Pub B,Rev 2,In Progress
MEQ-040064,DEP-91000064,Issuer Direct,Rights Expiration,REXP,Published,Wealth Management,Brightcap Capital SA,S505299,JDI5ESH71,CAJDI5ESH710,United States,DTC,DA-1473,Submit,Brightcap Capital SA,S505299,CAJDI5ESH710,3.1949,,,,,,,2025-12-23,2025-12-23,2025-12-30,,2025-12-16,2630,2879850,CA-11327,N,N,N,N,,Y,Pub B,Rev 3,In Progress
MEQ-040065,DEP-91000065,CDS,ADR Termination,ADRT,Published,Capital Markets,Ironbridge Energy Ltd,S534410,ES28GW5H9,BMES28GW5H92,United Kingdom,Euroclear,DA-9992,Hold,Ironbridge Energy Ltd,S534410,BMES28GW5H92,2.4358,Westmark Technology plc,S959780,USREPZHFPJP8,2.0736,USD,49.0101,2026-02-26,2026-02-26,2026-03-06,2026-03-06,2026-02-21,3636,16329276,CA-52268,Y,Y,Y,N,,Y,Pub A,Rev 3,Completed
MEQ-040066,DEP-91000066,CDS,No Payment / Deemed Worthless,NPMT,Published,Asset Servicing,Yarrow Aerospace Corp,S205100,9F29Z3D8B,GB9F29Z3D8B5,Bermuda,Euroclear,DA-4047,Submit,Yarrow Aerospace Corp,S205100,GB9F29Z3D8B5,1.1373,,,,,,,2026-04-16,2026-04-16,2026-04-23,,2026-04-03,2351,7210517,CA-33044,N,N,N,N,,Y,Pub A,Rev 3,In Progress
MEQ-040067,DEP-91000067,I&TS,Rights Expiration,REXP,Closed,Wealth Management,Northstar Bio SA,S238619,JJ9P5JZZG,CAJJ9P5JZZG3,United States,Euroclear,DA-4520,Submit,Northstar Bio SA,S238619,CAJJ9P5JZZG3,4.272,,,,,,,2025-08-24,2025-08-25,2025-09-08,,2025-08-15,1295,4805745,CA-63294,N,N,N,N,,Y,Pub A,Rev 2,In Progress
MEQ-040068,DEP-91000068,DTC,Warrant Expiration,WEXP,Pending,Wealth Management,Kestrel Trust SA,S257090,YSJU4S4RP,BMYSJU4S4RP1,Cayman Islands,I&TS,DA-3530,Submit,Kestrel Trust SA,S257090,BMYSJU4S4RP1,1.2697,,,,,,,2025-10-21,2025-10-21,2025-10-29,,2025-10-09,1454,4215146,CA-67296,N,N,N,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub B,Rev 3,In Progress
MEQ-040069,DEP-91000069,Broadridge,Cash Merger,CMER,Closed,Capital Markets,Oakhill Industries SA,S918973,SV4W8AHWD,BMSV4W8AHWD9,Canada,Euroclear,DA-7890,Submit,Oakhill Industries SA,S918973,BMSV4W8AHWD9,3.8842,,,,,,43.6967,2026-03-05,2026-03-05,2026-03-14,,2026-02-20,1311,1128771,CA-39140,Y,N,N,N,,Y,Pub A,Rev 1,In Progress
MEQ-040070,DEP-91000070,CDS,Cash Merger,CMER,Published,Wealth Management,Yarrow Aerospace Corp,S205100,9F29Z3D8B,GB9F29Z3D8B5,Bermuda,Euroclear,DA-2014,Submit,Yarrow Aerospace Corp,S205100,GB9F29Z3D8B5,4.0841,,,,,,42.0129,2026-03-02,2026-03-04,2026-03-19,2026-03-20,2026-02-18,272,893248,CA-66781,Y,Y,Y,N,,Y,Pub B,Rev 1,Completed
MEQ-040071,DEP-91000071,CDS,Liquidation,LIQ,Published,Direct Investing,Meadowfield Logistics plc,S589485,N0BIMVE3K,BMN0BIMVE3K4,Bermuda,DTC,DA-3727,Submit,Meadowfield Logistics plc,S589485,BMN0BIMVE3K4,1.9349,,,,,,42.5538,2025-06-14,2025-06-16,2025-06-22,2025-06-24,2025-06-09,3425,10648325,CA-35317,Y,Y,Y,N,,Y,Pub B,Rev 2,Completed
MEQ-040072,DEP-91000072,Issuer Direct,Merger,MERG,Published,Asset Servicing,Pinewright Communications SA,S265274,JZWH8FPRH,BMJZWH8FPRH9,United Kingdom,CDS,DA-7469,Submit,Pinewright Communications SA,S265274,BMJZWH8FPRH9,3.208,Nightingale Bio Corp,S064073,BMIH4FCZHOJ4,0.9084,USD,31.2026,2025-08-01,2025-08-03,2025-08-08,2025-08-10,2025-07-29,189,655830,CA-60574,Y,Y,N,N,,Y,Pub C,Rev 3,In Progress
MEQ-040073,DEP-91000073,I&TS,Liquidation,LIQ,Closed,Asset Servicing,Ironbridge Trust Ltd,S233668,TUTZBQQBM,BMTUTZBQQBM4,Canada,DTC,DA-4545,Hold,Ironbridge Trust Ltd,S233668,BMTUTZBQQBM4,2.1559,,,,,,46.8452,2026-04-21,2026-04-22,2026-04-30,2026-05-02,2026-04-13,3354,1827930,CA-45474,Y,Y,Y,N,,Y,Pub A,Rev 3,Completed
MEQ-040074,DEP-91000074,DTC,Pushout / Cancellation,PUSH,Published,Asset Servicing,Westmark Mining SE,S470459,MPXVBOQDE,KYMPXVBOQDE2,United Kingdom,Euroclear,DA-6271,Hold,Westmark Mining SE,S470459,KYMPXVBOQDE2,1.5426,,,,,,20.5291,2025-07-14,2025-07-15,2025-07-21,2025-07-23,2025-07-06,1155,4852155,CA-71316,Y,Y,Y,N,,Y,Pub A,Rev 3,Completed
MEQ-040075,DEP-91000075,CDS,Spin-Off,SPIN,Published,Asset Servicing,Cedarwood Bio Corp,S276997,BXHGDKLOM,GBBXHGDKLOM3,Bermuda,I&TS,DA-1866,Submit,Cedarwood Bio Corp,S276997,GBBXHGDKLOM3,1.2289,Westmark Pharmaceuticals SA,S210795,USMY3EKSVKF9,2.9638,EUR,39.5705,2025-09-24,2025-09-25,2025-10-01,2025-10-02,2025-09-12,3769,8736542,CA-74170,Y,Y,N,N,,Y,Pub B,Rev 1,In Progress
MEQ-040076,DEP-91000076,I&TS,Redemption,RDMP,Published,Direct Investing,Northstar Bio SA,S238619,JJ9P5JZZG,CAJJ9P5JZZG3,United States,DTC,DA-8389,Hold,Northstar Bio SA,S238619,CAJJ9P5JZZG3,2.2306,,,,,,44.9273,2026-03-11,2026-03-13,2026-03-16,2026-03-18,2026-03-03,2025,9835425,CA-41412,Y,Y,Y,N,,Y,Pub C,Rev 2,Completed
MEQ-040077,DEP-91000077,Broadridge,Liquidation,LIQ,Closed,Capital Markets,Westmark Bank NV,S883721,MX4MUPO3Z,GBMX4MUPO3Z9,United States,DTC,DA-2932,Submit,Westmark Bank NV,S883721,GBMX4MUPO3Z9,3.2205,,,,,,20.9513,2025-09-29,2025-09-29,2025-10-03,2025-10-06,2025-09-24,1186,1062656,CA-38173,Y,Y,Y,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub C,Rev 1,Completed
MEQ-040078,DEP-91000078,I&TS,Warrant Expiration,WEXP,Cancelled,Capital Markets,Glenmoor Properties Ltd,S432700,O2JRH82AK,GBO2JRH82AK4,Cayman Islands,I&TS,DA-2055,Hold,Glenmoor Properties Ltd,S432700,GBO2JRH82AK4,2.4987,,,,,,,2026-01-04,2026-01-04,2026-01-08,,2025-12-30,3034,9602610,CA-41043,N,N,N,N,,Y,Pub C,Rev 1,In Progress
MEQ-040079,DEP-91000079,Euroclear,Spin-Off,SPIN,Published,Asset Servicing,Pinewright Mining NV,S559928,ZN4HP21M8,USZN4HP21M83,United States,I&TS,DA-3408,Submit,Pinewright Mining NV,S559928,USZN4HP21M83,1.3227,Meadowfield Pharmaceuticals Ltd,S260312,GBK0PMUJVWY3,0.9426,CAD,20.6553,2026-01-29,2026-01-31,2026-02-05,2026-02-05,2026-01-24,3608,17938976,CA-79693,Y,Y,Y,N,,Y,Pub A,Rev 1,Completed
MEQ-040080,DEP-91000080,Euroclear,Rights Expiration,REXP,Closed,Direct Investing,Meadowfield Communications SE,S058327,BY8RE4H3U,USBY8RE4H3U8,Cayman Islands,DTC,DA-9053,Submit,Meadowfield Communications SE,S058327,USBY8RE4H3U8,3.0955,,,,,,,2025-10-15,2025-10-15,2025-10-18,,2025-10-08,3152,8359104,CA-36815,N,N,N,N,,Y,Pub B,Rev 3,In Progress
MEQ-040081,DEP-91000081,I&TS,Consolidation,CONS,Published,Asset Servicing,Brightcap Capital SA,S807955,JC6H1V564,CAJC6H1V5643,United Kingdom,I&TS,DA-8706,Submit,Brightcap Capital SA,S807955,CAJC6H1V5643,3.2856,,,,,,31.0946,2025-06-02,2025-06-04,2025-06-19,2025-06-22,2025-05-24,1466,494042,CA-70645,Y,Y,Y,N,,Y,Pub B,Rev 2,Completed
MEQ-040082,DEP-91000082,Euroclear,Cash Merger,CMER,Closed,Capital Markets,Oakhill Resources Corp,S252282,578AL1VVF,BM578AL1VVF6,United Kingdom,DTC,DA-6560,Submit,Oakhill Resources Corp,S252282,BM578AL1VVF6,1.8554,,,,,,11.5094,2026-01-25,2026-01-27,2026-02-04,2026-02-07,2026-01-16,769,1828682,CA-96590,Y,Y,Y,N,,Y,Pub C,Rev 1,Completed
MEQ-040083,DEP-91000083,DTC,Spin-Off,SPIN,Pending,Direct Investing,Yarrow Aerospace Corp,S205100,9F29Z3D8B,GB9F29Z3D8B5,Bermuda,Euroclear,DA-2689,Submit,Yarrow Aerospace Corp,S205100,GB9F29Z3D8B5,0.6156,Westmark Communications NV,S699641,KYXZLLXH8020,1.7626,CAD,31.4058,2025-10-18,2025-10-18,2025-10-26,2025-10-28,2025-10-06,2892,1553004,CA-87897,Y,Y,Y,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub C,Rev 1,Completed
MEQ-040084,DEP-91000084,DTC,Cash Merger,CMER,Published,Capital Markets,Juniper Trust AG,S456674,YSQH43O74,BMYSQH43O740,United Kingdom,DTC,DA-4153,Hold,Juniper Trust AG,S456674,BMYSQH43O740,0.89,,,,,,36.2623,2026-03-02,2026-03-04,2026-03-07,2026-03-07,2026-02-17,223,111500,CA-68150,Y,Y,Y,N,,Y,Pub B,Rev 2,Completed
MEQ-040085,DEP-91000085,DTC,Name Change,NAME,Cancelled,Asset Servicing,Meadowfield Media Inc,S640378,74DN24QPH,CA74DN24QPH4,Cayman Islands,DTC,DA-4228,Submit,Meadowfield Media Inc,S640378,CA74DN24QPH4,3.71,,,,,,,2025-10-24,2025-10-24,2025-11-03,,2025-10-20,2525,4267250,CA-59740,N,N,N,N,,Y,Pub A,Rev 1,In Progress
MEQ-040086,DEP-91000086,DTC,Cash and Shares,CASH,Published,Asset Servicing,Fairhaven Logistics AG,S951288,EKLS5ZYG2,CAEKLS5ZYG24,Bermuda,CDS,DA-5713,Submit,Fairhaven Logistics AG,S951288,CAEKLS5ZYG24,2.0439,Juniper Trust SE,S318943,GB2EPJ4KOM66,1.4419,EUR,31.4071,2025-08-08,2025-08-08,2025-08-22,2025-08-25,2025-08-05,1155,5330325,CA-68980,Y,Y,Y,N,,Y,Pub B,Rev 1,Completed
MEQ-040087,DEP-91000087,I&TS,Cash Merger,CMER,Pending,Wealth Management,Pinewright Communications SA,S265274,JZWH8FPRH,BMJZWH8FPRH9,United Kingdom,CDS,DA-4729,Hold,Pinewright Communications SA,S265274,BMJZWH8FPRH9,2.569,,,,,,42.8986,2025-12-24,2025-12-24,2025-12-27,2025-12-28,2025-12-09,3652,1895388,CA-42114,Y,Y,Y,N,,Y,Pub A,Rev 3,Completed
MEQ-040088,DEP-91000088,I&TS,Unit Split,USPL,Pending,Direct Investing,Ironbridge Bio AG,S037639,RBSOBVMN5,KYRBSOBVMN59,United States,DTC,DA-4865,Submit,Ironbridge Bio AG,S037639,KYRBSOBVMN59,1.2987,Saltmarsh Holdings Ltd,S659233,KYMFJ6SEMJ83,2.0945,GBP,36.6475,2025-10-24,2025-10-26,2025-11-01,2025-11-03,2025-10-15,293,969537,CA-16223,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040089,DEP-91000089,Euroclear,Cash and Shares,CASH,Closed,Capital Markets,Zephyr Resources NV,S793154,GKHRT44H6,BMGKHRT44H63,Bermuda,DTC,DA-3370,Hold,Zephyr Resources NV,S793154,BMGKHRT44H63,0.9984,Glenmoor Capital SE,S438955,CATKE2XRV0Q7,1.3994,GBP,22.0237,2026-02-21,2026-02-23,2026-03-10,2026-03-10,2026-02-16,850,1977950,CA-55095,Y,Y,Y,N,,Y,Pub C,Rev 1,Completed
MEQ-040090,DEP-91000090,I&TS,Cash and Shares,CASH,Pending,Asset Servicing,Ironbridge Energy SE,S815678,TB8CO0UAE,GBTB8CO0UAE2,Cayman Islands,I&TS,DA-1375,Hold,Ironbridge Energy SE,S815678,GBTB8CO0UAE2,2.997,Oakhill Industries SE,S063931,KY84TO591S15,1.4939,GBP,20.0248,2025-08-10,2025-08-10,2025-08-12,2025-08-15,2025-07-29,290,25230,CA-70207,Y,Y,Y,N,,Y,Pub C,Rev 1,Completed
MEQ-040091,DEP-91000091,CDS,Pushout / Cancellation,PUSH,Pending,Capital Markets,Westmark Capital AG,S327353,6LXRQUAZG,CA6LXRQUAZG3,Cayman Islands,I&TS,DA-1437,Submit,Westmark Capital AG,S327353,CA6LXRQUAZG3,4.5971,,,,,,35.0352,2026-01-12,2026-01-13,2026-01-21,2026-01-22,2026-01-04,3483,1699704,CA-63719,Y,Y,Y,N,,Y,Pub B,Rev 2,Completed
MEQ-040092,DEP-91000092,Broadridge,No Payment / Deemed Worthless,NPMT,Published,Wealth Management,Oakhill Industries SA,S918973,SV4W8AHWD,BMSV4W8AHWD9,Canada,Euroclear,DA-7787,Hold,Oakhill Industries SA,S918973,BMSV4W8AHWD9,1.9431,,,,,,,2026-01-29,2026-01-31,2026-02-14,,2026-01-18,187,914804,CA-75214,N,N,N,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub C,Rev 2,In Progress
MEQ-040093,DEP-91000093,CDS,Stock Dividend,STDV,Published,Wealth Management,Yarrow Aerospace Corp,S205100,9F29Z3D8B,GB9F29Z3D8B5,Bermuda,Euroclear,DA-2051,Submit,Yarrow Aerospace Corp,S205100,GB9F29Z3D8B5,2.2512,Westmark Bank NV,S883721,GBMX4MUPO3Z9,2.0411,CAD,27.8832,2025-12-03,2025-12-05,2025-12-16,2025-12-19,2025-11-26,608,956992,CA-50498,Y,Y,Y,N,,Y,Pub A,Rev 2,Completed
MEQ-040094,DEP-91000094,I&TS,ADR Termination,ADRT,Published,Direct Investing,Fairhaven Bio SA,S320626,2YG3UK0V0,BM2YG3UK0V02,Bermuda,DTC,DA-3769,Submit,Fairhaven Bio SA,S320626,BM2YG3UK0V02,2.1485,Oakhill Resources Corp,S252282,BM578AL1VVF6,2.0364,EUR,3.9115,2025-06-28,2025-06-29,2025-07-07,2025-07-07,2025-06-19,1630,6873710,CA-96299,Y,Y,Y,N,,Y,Pub C,Rev 2,Completed
MEQ-040095,DEP-91000095,DTC,Stock Dividend,STDV,Published,Asset Servicing,Doverpoint Media SE,S586514,B5LQ0YNTP,CAB5LQ0YNTP1,Canada,Euroclear,DA-5478,Hold,Doverpoint Media SE,S586514,CAB5LQ0YNTP1,1.8313,Nightingale Communications Inc,S887103,BM6M74JOXLA7,2.0279,USD,47.5377,2025-10-20,2025-10-22,2025-11-06,2025-11-06,2025-10-07,3128,6415528,CA-20573,Y,Y,Y,N,,Y,Pub A,Rev 3,Completed
MEQ-040096,DEP-91000096,DTC,Stock Dividend,STDV,Pending,Capital Markets,Saltmarsh Resources Corp,S421737,UOOXI3CQU,CAUOOXI3CQU6,Bermuda,I&TS,DA-5160,Submit,Saltmarsh Resources Corp,S421737,CAUOOXI3CQU6,2.6735,Oakhill Trust SA,S432221,CAAYUUHZS0P3,0.6068,EUR,46.9008,2025-11-10,2025-11-10,2025-11-15,2025-11-18,2025-10-26,1679,3507431,CA-24493,Y,Y,Y,N,,Y,Pub B,Rev 3,Completed
MEQ-040097,DEP-91000097,Broadridge,Redemption,RDMP,Published,Asset Servicing,Harborlight Aerospace Inc,S271586,ZM2NGCQVP,CAZM2NGCQVP3,Canada,I&TS,DA-2092,Hold,Harborlight Aerospace Inc,S271586,CAZM2NGCQVP3,1.7292,,,,,,39.3957,2025-10-29,2025-10-31,2025-11-08,2025-11-09,2025-10-26,2299,701195,CA-88142,Y,Y,Y,N,,Y,Pub B,Rev 3,Completed
MEQ-040098,DEP-91000098,Broadridge,Full Call,FCAL,Pending,Capital Markets,Cedarwood Resources Ltd,S649062,WYKE9O860,BMWYKE9O8602,United Kingdom,DTC,DA-8824,Submit,Cedarwood Resources Ltd,S649062,BMWYKE9O8602,0.7999,,,,,,40.6505,2025-11-09,2025-11-11,2025-11-24,2025-11-26,2025-11-01,3652,17036580,CA-15277,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040099,DEP-91000099,Issuer Direct,Full Call,FCAL,Cancelled,Capital Markets,Aldergrove Bank Inc,S068458,PR4M98UVB,USPR4M98UVB4,United States,CDS,DA-1413,Submit,Aldergrove Bank Inc,S068458,USPR4M98UVB4,0.531,,,,,,19.2058,2025-11-05,2025-11-07,2025-11-09,2025-11-12,2025-11-02,3539,15253090,CA-62155,Y,Y,Y,N,,Y,Pub C,Rev 1,Completed
MEQ-040100,DEP-91000100,Euroclear,Exchange,EXCH,Pending,Capital Markets,Brightcap Industries plc,S179923,IYTFUDECA,GBIYTFUDECA0,Bermuda,CDS,DA-3882,Submit,Brightcap Industries plc,S179923,GBIYTFUDECA0,2.8666,Oakhill Bio AG,S396443,GBZFEPBYB0O0,1.8638,EUR,0.1252,2026-04-17,2026-04-17,2026-04-27,2026-04-28,2026-04-07,2729,4461915,CA-64114,Y,Y,Y,N,,Y,Pub A,Rev 3,Completed
MEQ-040101,DEP-91000101,I&TS,Full Call,FCAL,Pending,Asset Servicing,Yarrow Logistics SA,S749999,XN2XOM36P,CAXN2XOM36P9,Canada,CDS,DA-7066,Submit,Yarrow Logistics SA,S749999,CAXN2XOM36P9,3.8978,,,,,,36.9945,2026-04-21,2026-04-22,2026-05-06,,2026-04-06,1145,1306445,CA-23129,Y,N,N,N,,Y,Pub B,Rev 3,In Progress
MEQ-040102,DEP-91000102,Euroclear,Name Change,NAME,Cancelled,Direct Investing,Doverpoint Media Inc,S354664,MF76KEQNZ,KYMF76KEQNZ9,United Kingdom,DTC,DA-4836,Submit,Doverpoint Media Inc,S354664,KYMF76KEQNZ9,1.4997,,,,,,,2025-11-05,2025-11-06,2025-11-19,,2025-10-31,2800,10774400,CA-49543,N,N,N,N,,Y,Pub A,Rev 2,In Progress
MEQ-040103,DEP-91000103,Broadridge,Consolidation,CONS,Pending,Wealth Management,Umbra Trust SE,S281943,9JWT9UK7L,US9JWT9UK7L3,United States,Euroclear,DA-4231,Submit,Umbra Trust SE,S281943,US9JWT9UK7L3,2.6555,,,,,,46.6597,2026-02-17,2026-02-17,2026-02-25,2026-02-27,2026-02-05,403,1802216,CA-65839,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040104,DEP-91000104,Issuer Direct,ADR Termination,ADRT,Closed,Direct Investing,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,United Kingdom,CDS,DA-3733,Submit,Brightcap Energy SE,S849963,KYEPUSLD2LR1,4.6051,Meadowfield Capital SE,S469648,GBUT9KRWR578,1.605,CAD,21.8117,2025-11-26,2025-11-27,2025-12-06,2025-12-06,2025-11-14,2817,6884748,CA-65833,Y,Y,Y,N,,Y,Pub A,Rev 2,Completed
MEQ-040105,DEP-91000105,I&TS,Cash Merger,CMER,Closed,Direct Investing,Juniper Holdings Ltd,S405208,DA02RJ5DC,GBDA02RJ5DC9,Bermuda,CDS,DA-8700,Hold,Juniper Holdings Ltd,S405208,GBDA02RJ5DC9,4.87,,,,,,44.4637,2025-09-23,2025-09-25,2025-09-28,,2025-09-11,896,413952,CA-56379,Y,N,N,N,,Y,Pub B,Rev 2,In Progress
MEQ-040106,DEP-91000106,CDS,Cash and Shares,CASH,Cancelled,Wealth Management,Meadowfield Bio Ltd,S882089,BNWJM9ZT4,USBNWJM9ZT49,Cayman Islands,CDS,DA-1322,Submit,Meadowfield Bio Ltd,S882089,USBNWJM9ZT49,3.7362,Meadowfield Logistics plc,S589485,BMN0BIMVE3K4,2.8461,CAD,30.7178,2026-03-10,2026-03-11,2026-03-23,2026-03-26,2026-02-28,1040,2184000,CA-88814,Y,Y,Y,N,,Y,Pub A,Rev 2,Completed
MEQ-040107,DEP-91000107,I&TS,Consolidation,CONS,Pending,Wealth Management,Zephyr Properties NV,S898920,2V9BK9CQJ,US2V9BK9CQJ0,Cayman Islands,I&TS,DA-6541,Hold,Zephyr Properties NV,S898920,US2V9BK9CQJ0,2.2396,,,,,,34.0017,2025-10-18,2025-10-18,2025-10-23,2025-10-24,2025-10-09,1341,4195989,CA-30171,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040108,DEP-91000108,I&TS,Stock Split,STSP,Published,Direct Investing,Doverpoint Media Inc,S354664,MF76KEQNZ,KYMF76KEQNZ9,United Kingdom,DTC,DA-2644,Submit,Doverpoint Media Inc,S354664,KYMF76KEQNZ9,1.0093,Juniper Media SA,S822287,CAFN5DYYPIP5,1.9419,USD,19.2637,2026-01-13,2026-01-15,2026-01-29,2026-02-01,2026-01-02,3262,14414778,CA-64372,Y,Y,Y,N,,Y,Pub A,Rev 1,Completed
MEQ-040109,DEP-91000109,I&TS,Full Call,FCAL,Published,Capital Markets,Pinewright Mining NV,S559928,ZN4HP21M8,USZN4HP21M83,United States,DTC,DA-3820,Submit,Pinewright Mining NV,S559928,USZN4HP21M83,3.257,,,,,,41.6451,2026-04-09,2026-04-11,2026-04-16,2026-04-17,2026-03-28,118,374650,CA-86716,Y,Y,Y,N,,Y,Pub B,Rev 3,Completed
MEQ-040110,DEP-91000110,Euroclear,Warrant Expiration,WEXP,Closed,Wealth Management,Ironbridge Energy Ltd,S534410,ES28GW5H9,BMES28GW5H92,United Kingdom,Euroclear,DA-7168,Hold,Ironbridge Energy Ltd,S534410,BMES28GW5H92,1.6416,,,,,,,2025-11-25,2025-11-26,2025-12-04,,2025-11-15,2731,6980436,CA-33581,N,N,N,N,,Y,Pub B,Rev 3,In Progress
MEQ-040111,DEP-91000111,Broadridge,Exchange,EXCH,Pending,Wealth Management,Oakhill Bio AG,S396443,ZFEPBYB0O,GBZFEPBYB0O0,Cayman Islands,Euroclear,DA-6904,Submit,Oakhill Bio AG,S396443,GBZFEPBYB0O0,4.4988,Oakhill Trust SA,S432221,CAAYUUHZS0P3,2.6794,EUR,27.0125,2025-12-20,2025-12-21,2026-01-05,2026-01-08,2025-12-06,510,2421990,CA-84754,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040112,DEP-91000112,DTC,Cash and Shares,CASH,Published,Direct Investing,Riverstone Resources SA,S267070,JPAUSQ8OW,USJPAUSQ8OW6,Cayman Islands,DTC,DA-7381,Submit,Riverstone Resources SA,S267070,USJPAUSQ8OW6,1.2153,Doverpoint Media SE,S586514,CAB5LQ0YNTP1,2.776,EUR,19.8469,2025-09-26,2025-09-27,2025-10-04,2025-10-05,2025-09-18,2004,6256488,CA-96786,Y,Y,Y,N,,Y,Pub C,Rev 2,Completed
MEQ-040113,DEP-91000113,Issuer Direct,Cash Merger,CMER,Pending,Capital Markets,Aldergrove Pharmaceuticals SE,S586804,GSTXGSLKX,CAGSTXGSLKX5,Cayman Islands,CDS,DA-1275,Submit,Aldergrove Pharmaceuticals SE,S586804,CAGSTXGSLKX5,3.665,,,,,,47.4721,2025-10-03,2025-10-03,2025-10-07,2025-10-09,2025-09-18,3229,629655,CA-39916,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040114,DEP-91000114,I&TS,Cash and Shares,CASH,Published,Capital Markets,Pinewright Industries plc,S073457,P7AMV17FX,KYP7AMV17FX7,Bermuda,I&TS,DA-1338,Hold,Pinewright Industries plc,S073457,KYP7AMV17FX7,3.9351,Kestrel Holdings NV,S997319,USXVSDIEX0Q9,0.6696,EUR,43.1174,2025-09-29,2025-09-29,2025-10-13,2025-10-16,2025-09-23,109,330706,CA-34423,Y,Y,Y,N,,Y,Pub A,Rev 1,Completed
MEQ-040115,DEP-91000115,DTC,Partial Call,PCAL,Closed,Wealth Management,Larkspur Aerospace AG,S130331,JXIO6L01A,CAJXIO6L01A7,United States,Euroclear,DA-5631,Submit,Larkspur Aerospace AG,S130331,CAJXIO6L01A7,4.0224,,,,,,49.3116,2025-08-31,2025-08-31,2025-09-12,,2025-08-21,3592,8046080,CA-10975,Y,N,N,N,,Y,Pub B,Rev 3,In Progress
